Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-25681.349716347424,-2.004828327319438,-2.9569697586880506,-5.639783910360585,-228.64456944580007,-5223.7344894200905
0.48,-25691.631518796865,-13.674626666274065,-19.9325311373391,-37.003715515132775,-1232.6755364506628,-3306.220699391459
0.481,-25693.330251375468,-47.27258703554678,-67.7344774578922,-120.80801537229829,-2999.195138022761,10601.508680463518
0.481,-25680.63446052485,-114.67854995891686,-160.51315439839667,-270.6250425188648,-4320.557995689704,6036.896717469196
0.481,-25679.29335585753,-225.2029404763827,-305.86004736920967,-478.4105343216648,-3742.426599770217,-3326.720267906332
0.481,-25679.38276283536,-385.7944121156614,-504.8957985330527,-716.8222322173743,-858.439447316839,-1709.7064598989314
0.481,-25682.780227992564,-601.2497325452347,-752.6971471598031,-944.4660319993191,3348.1490182793027,-4010.445759603357
0.481,-25686.98235595016,-874.4205340525428,-1039.0097510460314,-1113.131714206567,7093.460668668283,-1408.2878615523573
0.481,-25682.5120070591,-1206.4141839975164,-1349.1893063600633,-1175.911024247015,8783.834648970638,967.2456107450553
0.481,-25681.08149541396,-1596.787916800825,-1665.3106191695003,-1095.0620094491767,7787.023598432769,354.29991598009656
0.481,-25678.13106514586,-2043.7372618316056,-1967.384279715459,-848.5888650705858,4617.535808875209,1524.4471927583854
0.481,-25686.35650710541,-2544.279809725449,-2234.6203166604446,-434.7185934044191,551.5819524190678,92.33842900712989
0.481,-25685.820065238484,-3094.432494953162,-2446.6761077122324,126.25929608406518,-3030.4271336836005,-124.73121417947095
0.481,-25691.452704841224,-3689.3793348975864,-2584.828624065685,792.9890730090436,-5209.693686867751,-172.25509686823898
0.481,-25690.46922808519,-4323.628929724899,-2633.0213973879563,1506.7298457732106,-5767.5430545579975,-496.58375999584405
0.481,-25687.60820479491,-4991.161961001098,-2578.746261976562,2197.2586774691654,-5071.221152884584,71.0598178982982
0.482,-25687.33998386145,-5685.568742765797,-2413.72895691439,2790.29126705578,-3750.7591452386423,-44.162049372736874
0.482,-25689.93278621826,-6400.178147344479,-2134.3994937758716,3215.5586410428937,-2368.3493460566456,110.0421641046687
0.482,-25701.4662863572,-7128.178265195683,-1742.136788670765,3414.629056478768,-1228.9200821398417,124.36917637285114
0.482,-25706.56248409301,-7862.727030943053,-1243.2837671199577,3347.6191980873464,-372.37318225829176,-34.58318455772496
0.482,-25701.019251468093,-8597.04959504414,-648.9365373276789,2998.08102578952,308.7900751763836,42.75050914805615
0.482,-25701.55569333502,-9324.522668311733,25.474727455298734,2375.5490319776486,924.5377189241623,-54.927548841076714
0.482,-25701.4662863572,-10038.75050079541,760.7813979740898,1515.4761923492454,1496.126094209305,-22.88386327877015
0.482,-25702.62857706888,-10733.633410643964,1534.8165499799404,476.5751239731788,1949.6174825720584,0.6820522912566958
0.482,-25699.409925867312,-11403.426299367853,2323.2686523642515,-664.1433041362889,2173.7248211556125,-13.695106483745803
0.482,-25700.84043751245,-12042.787106151469,3100.6110720760007,-1818.1229983504581,2093.779544991357,24.84433919348521
0.482,-25700.393402623347,-12646.816841132153,3841.0659290976405,-2893.134017740216,1717.7138475688296,-1.8214107767698806
0.482,-25698.784077022563,-13211.091307496903,4519.563589136591,-3801.489736067935,1135.4667726560644,4.897018586098056
0.482,-25701.4662863572,-13731.684503404053,5112.661156384374,-4467.8219625404445,481.03039081526555,2.054083847622678
0.482,-25697.89000724435,-14205.184580139687,5599.385211910804,-4835.691577954032,-117.66266435107136,-8.343993461721766
0.482,-25692.972623464186,-14628.701985247275,5961.97027768571,-4872.43918938909,-575.8801654651686,4.7058807052462726
0.482,-25706.115449203902,-14999.871834912985,6186.466109729698,-4571.8705602327245,-863.7957903926407,-6.1968965748819755
0.482,-25715.14555396385,-15316.853460422893,6263.191665504221,-3954.5883809008337,-995.1830972279214,-5.674940553011766
0.482,-25711.39046089536,-15578.323033589437,6187.030668392255,-3065.985177850851,-1004.2665190037436,6.167835597053454
0.482,-25717.827763298486,-15783.45706188004,5957.567077400528,-1972.1330365993479,-924.5417218611976,5.642730504903739
0.482,-25723.639216856864,-15931.912726695395,5579.052621224661,-754.0137361690797,-779.2734644393813,-0.8393731008472969
0.482,-25717.38072840938,-16023.805950190987,5060.212431912325,499.3489420799334,-583.6195889783213,0.3169914796253579
0.482,-25699.409925867312,-16059.682812390969,4413.908238383183,1698.2319054333898,-351.8298603744846,6.256542656133206
0.482,-25695.47601884318,-16040.487410929622,3656.671901496538,2759.3687713229374,-103.52122324628286,-0.8617728962435649
0.482,-25708.6188445829,-15967.53376894513,2808.119425020359,3612.290570839208,134.42253013238252,-12.413654007770674
0.482,-25721.404042411334,-15842.481182206215,1890.2715042601205,4204.348934843462,331.9159361113496,-9.834982273726382
0.483,-25714.5197051191,-15667.304223869449,926.8210685023963,4504.083574802965,464.3305781489994,6.332019562720234
0.483,-25705.04256547005,-15444.254267935145,-57.6198574941183,4502.739412897353,520.5804519536055,14.445715888168706
0.483,-25713.17860045178,-15175.82097192687,-1038.2795984925006,4213.87464316298,505.11172223250765,1.666224328626413
0.483,-25724.53328663508,-14864.700510028628,-1990.9764439861451,3671.174945298264,433.341521623726,-9.802621167521465
0.483,-25726.23201921368,-14513.765344789093,-2892.825671621337,2924.773602280175,325.14143965711673,-3.0549729197764464
0.483,-25724.354472679435,-14126.029553873117,-3722.8728753625846,2036.4903493757113,200.14923436927907,4.756563107794136
0.483,-25728.73541459268,-13704.613211773438,-4462.640457795856,1074.4407080830576,75.08714413816944,1.9973935702364543
0.483,-25729.540077393067,-13252.710325310638,-5096.579406424107,107.48942781123489,-37.55716609029088,-0.9996442565952748
0.483,-25734.99390304016,-12773.559325673714,-5612.4140653629765,-799.9799829945974,-129.4749894954683,-0.7757142622713218
0.483,-25739.01721704212,-12270.414901945209,-6001.371467004882,-1592.5660203928276,-195.65089619805215,-1.5692315206233616
0.483,-25742.77231011061,-11746.521271183583,-6258.293025477272,-2227.302037220636,-233.5397719071908,-0.06041271957656136
0.483,-25744.024007800104,-11205.086547816903,-6381.629866281255,-2675.854666733258,-242.71289604429506,1.9017687279338134
0.483,-25739.106624019936,-10649.2581180323,-6373.32730247525,-2925.3849996188787,-224.94039599366278,2.3317093638170263
0.483,-25727.48371690317,-10082.098955236768,-6238.6074881787445,-2978.11083254536,-184.34716430754804,3.5698202539597332
0.483,-25726.500240147143,-9506.566681448672,-5985.665013892976,-2849.721923360441,-127.45334053754084,-1.340434750033637
0.483,-25734.010426284127,-8925.498622713965,-5625.2945189101365,-2566.88975467475,-62.97968622697476,-8.638751578094343
0.483,-25733.205763483737,-8341.600932050647,-5170.463018304174,-2164.1548622281566,-0.6143745346433036,-3.8508322953657625
0.483,-25728.73541459268,-7757.436457388924,-4635.83563722232,-1680.4934316168885,51.459738762159986,5.477546146128589
0.483,-25740.09010077597,-7175.413083154556,-4037.274792694696,-1155.8860885107238,88.44101154922078,1.74393137808147
0.483,-25739.28543797558,-6597.776423547776,-3391.335931226872,-628.188431288841,108.93333318135316,-1.822175611714556
0.483,-25735.88797281837,-6026.603369031199,-2714.770960665614,-130.52694058239845,114.20523921733434,4.826115022763588
0.483,-25739.643065886863,-5463.79543163137,-2024.0530908499038,310.61699852488084,107.2325914042433,1.086216068183603
0.483,-25737.05026353005,-4911.075485273784,-1334.9421657274274,676.5356354901232,91.36760124565907,-3.633681429977514
0.483,-25744.56044966703,-4369.987417650046,-662.101212863532,956.6285153228954,69.44072416745755,-0.8694091816696528
0.484,-25743.487565933177,-3841.89721606562,-18.771065803039026,1148.009176810614,43.733939489434704,-2.0438554643615134
0.484,-25746.259182245634,-3327.9947843591185,583.491351556392,1254.5093841448204,16.490399116363193,1.6491332753348615
0.484,-25743.04053104408,-2829.29614881955,1135.0074155823233,1285.2458962311657,-9.643859883422067,2.847500251198653
0.484,-25743.75578686664,-2346.646975308968,1628.1007772077537,1252.933312209831,-31.787998980465716,0.018115388950718625
0.484,-25754.395217227368,-1880.7288114962569,2057.149572214798,1172.1283661367802,-47.61909216803622,-2.5999525275319684
0.484,-25757.97149634021,-1432.0678292765929,2418.570362808239,1057.581500925252,-56.130682657396164,-3.91007612476551
0.484,-25754.842252116472,-1001.0422497441924,2710.74469283225,922.8517203327726,-57.46339424022702,4.402310828420923
0.484,-25749.388426469377,-587.8873612347403,2933.8964475768835,779.289316503513,-52.202163983696494,5.627460617137331
0.484,-25754.216403271726,-192.70242092860204,3089.9213064052938,635.4267163309902,-41.3384526975552,-2.07072509815589
0.484,-25759.22319402972,184.538401101231,3182.1739775823157,496.7777098972512,-26.781261733260123,-5.113652330041077
0.484,-25757.70327540675,543.9745651807613,3215.228272720467,366.02006214122935,-11.201476788017402,-1.241674011579562
0.484,-25762.08421732,885.8497449592859,3194.6237180777184,243.49701272216018,2.9269853394319796,2.3778910880073454
0.484,-25759.938449852285,1210.5026121513017,3126.6054842277654,127.93373775537562,14.04402399738234,0.7426809592261634
0.484,-25762.352438253456,1518.357088210427,3017.86561636879,17.255471394739324,21.595370082114272,1.3883794512303211
0.484,-25775.04822910407,1809.9114636788129,2875.2930643089935,-90.60524223750257,25.60882604092228,-2.714055508684396
0.484,-25774.601194214963,2085.726637217321,2705.740388690165,-197.01007675609128,26.22632770422851,-2.6288486160574394
0.484,-25777.2834035496,2346.4168938435673,2515.8185657949907,-302.0930205543562,23.87376821199183,5.230706941661083
0.484,-25785.33003155352,2592.641950550666,2311.7227315917007,-404.47087116379373,19.422138712935833,-0.09954921988537535
0.484,-25782.916043152338,2825.0978198704333,2099.0885331503587,-501.21485761660887,13.848737141370577,-1.2040133654681995
0.484,-25787.654612976865,3044.508597689273,1882.8842752383136,-588.0672685022823,8.030782465010503,2.7465871388185406
0.484,-25793.10843862396,3251.61849751295,1667.3384246158346,-659.868184135714,2.5978535434185517,-3.319575033205183
