Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-51383.5312585272,1.494705550442177e-07,3.448255014859569e-10,4.519051799434237e-11,4.0756731323199347e-11,-5.4569682106375694e-12
0.0,-373607.5310239233,-25.15458906048149,-37.101111637229046,-70.7623917543154,-2868.804346547408,-65542.217970808
0.0,-373521.3426973036,-171.55879722889242,-250.06877196368663,-464.23851170898797,-15464.469086797808,-41439.39288813981
0.0,-373394.2059748418,-593.0031751891744,-849.6806599333614,-1515.4360117295175,-37619.26366063165,133075.0550410067
0.0,-373034.2534821336,-1438.3814599802517,-2013.253381499793,-3394.263390653927,-54176.02021472818,75716.03411427092
0.001,-372730.44857149705,-2824.258966583442,-3835.702221161655,-5999.301285992948,-46890.528436172805,-41768.005041394616
0.001,-372868.3141312974,-4837.503124863201,-6330.703376529817,-8987.072189504019,-10678.540705941245,-21532.372940080953
0.001,-373116.2396807957,-7538.013969886367,-9436.215615324603,-11838.227153982265,42096.92336452104,-50510.49930202053
0.001,-373116.2396807957,-10961.40750560546,-13023.566811717861,-13948.5794501475,89030.74663645873,-17626.967971867838
0.001,-373320.2664041837,-15121.533715113588,-16909.252403853912,-14730.81904217105,110133.80715736085,12292.26194041474
0.001,-373504.6235924511,-20012.908975241873,-20868.82700389207,-13712.956394346684,97510.11830571048,4429.859395750449
0.001,-373943.1648186642,-25613.12265175448,-24652.202975201508,-10620.731935379863,57657.52643201581,19111.042546444325
0.001,-373896.4943762415,-31885.140579205286,-27999.45890891569,-5433.47194968362,6618.938581730646,1237.7633637737454
0.001,-373701.0507227243,-38779.408421517874,-30656.266201422597,1593.459852928428,-38265.374603262586,-1356.3624944628828
0.001,-50997.74014922859,-46210.626790596456,-32351.193514878705,10012.564607632941,-62588.285752061485,63510.15172445954
0.002,-373495.3252667577,-54039.03000175303,-32781.264477892895,19270.134759848286,-59637.70657938453,-30535.288667582732
0.002,-373282.3578455875,-62131.35483511676,-31717.372375704574,28571.167753181522,-41116.724611285106,-173919.5248758656
0.002,-372919.4549226111,-70411.95410719098,-29088.78199800464,36821.88978321581,-30005.64824543958,56882.729446229074
0.002,-372799.5601653529,-78829.18027409934,-24932.417345564136,42872.753319904354,-36491.02855576879,119012.55345380717
0.002,-372912.2129574077,-87326.90226042029,-19345.968318465697,45751.39119079417,-51237.935407622856,-18955.333748584737
0.002,-51141.50656956513,-95820.87241721197,-12447.011297816893,44853.44100913146,-54411.99285555648,93872.31732814481
0.002,-373108.550680703,-104179.44371739129,-4339.477524747987,40068.04514081286,-30589.451526642202,-56156.84299909786
0.002,-51133.102313649935,-112258.52765787218,4837.413896593954,31683.293121750197,15123.95744291603,-139252.7990202802
0.002,-373505.4282552515,-119931.27352993994,14870.479285750116,20272.33460385424,59997.20920032702,40756.21874663356
0.002,-50894.11746193379,-127087.66978290789,25482.685670899933,6648.5070981459585,81514.36034060667,-6151.561859854157
0.002,-373505.4282552515,-133633.99463992182,36346.179561639095,-8197.790637377975,70879.39183561686,30696.769331480216
0.002,-373922.6012137653,-139517.43614958625,47060.18337597528,-23246.69042621574,33117.881966283574,-25463.042767265353
0.002,-51055.76527783457,-144720.96253875596,57176.99385988419,-37501.83812382651,-14882.095797874339,70614.934473776
0.002,-373834.6247475892,-149207.97688293667,66303.76142703556,-49897.06688803396,-47308.454159511464,96909.28032921873
0.002,-51081.33567349144,-152926.63610856418,74110.68683897259,-59402.052916640154,-48157.73450125016,-161538.12537941462
0.002,-373684.7786527608,-155839.0219444328,80299.22304536037,-65203.02116568713,-22856.72949134872,19074.1616392937
0.002,-373538.7770579788,-157945.4172902466,84577.21330564792,-66843.31259612198,7124.1817613435705,-66036.92358612201
0.002,-373421.3856960995,-159304.02243821794,86641.85838124876,-64307.071800810045,19007.151237545644,-5105.672448861704
0.003,-373175.5165070911,-159996.08132845364,86245.15564725397,-57896.175916801156,7814.154066781776,174901.06398406194
0.003,-372869.3870150312,-160096.1586031224,83248.10432436551,-48104.919447894004,-12431.991268599992,-61880.128572863585
0.003,-372869.3870150312,-159672.47061721742,77624.40655000067,-35581.768715288286,-23538.730701567078,11741.140767157165
0.003,-373008.6830864767,-158787.2908262612,69459.13830595036,-21089.03119685792,-15942.402487194891,-17288.550750208487
0.003,-373256.608635975,-157497.3885202206,58942.77198933505,-5461.619481233732,6848.595820372011,-53443.00175321057
0.003,-373506.9481738744,-155854.4168056991,46361.15820175579,10434.364096566389,32335.433265351658,31288.892485489443
0.003,-373902.9316786447,-153905.2475411192,32082.078860604448,25742.385423157888,47298.60715148647,-19531.556168618008
0.003,-373947.9033884888,-151692.26132480337,16539.065429474886,39654.70718362376,44872.5560804071,19411.431273729628
0.003,-373819.246747404,-149253.55377387963,213.31055497329027,51449.242205958944,27015.886227996405,8226.044310858124
0.003,-373664.93030368455,-146623.09679290585,-16385.585490361467,60522.77816698479,2133.074340347357,-7970.9778588332265
0.003,-373452.6781383369,-143830.94974708025,-32739.373527632462,66419.02210699354,-19909.703136062613,8504.730330372971
0.003,-373079.3145989555,-140903.51018576344,-48340.62293145798,68850.19784505626,-32367.195148164006,-10528.584810528693
0.003,-373011.4547027892,-137863.77995997595,-62711.13293315808,67711.02978610658,-33717.863942616204,1655.2124068335834
0.003,-50862.28857782944,-134706.54168621032,-75381.60932699057,63154.67866214313,-24057.803745271878,65367.851437812475
0.003,-50844.94362413212,-131352.92355878002,-85841.62042565209,55698.96313851281,-1468.3099817907635,39493.72641837041
0.003,-373229.7865426286,-127689.07205363267,-93618.02424991169,46043.9033648515,26766.438135380704,-194594.05942648236
0.003,-50597.28629556731,-123649.55289215039,-98416.39726230106,34761.26788747209,39492.03757440392,-53268.48261550146
0.003,-373370.6919396749,-119211.06360573969,-100118.11354795645,22295.01876929883,22878.101048594,152023.9644991186
0.003,-373542.8897789586,-114386.57077025784,-98770.17656459298,8991.461289992518,-18578.87608095184,-77892.00354660297
0.003,-49100.25585892866,-109219.59708964046,-94568.42272204865,-4851.066552103853,-65026.69121984602,130924.91144810652
0.003,-373983.4873656616,-103728.46418760659,-87761.28473784262,-18784.27384302139,-87575.16790502454,90355.3980650394
0.003,-50399.6968745824,-97910.6961320068,-78643.92567391749,-32222.691557443497,-70070.62716878518,-193503.17387300153
0.003,-50748.0264601739,-91746.98861054986,-67551.18895616163,-44481.32001414194,-18655.776353522855,106796.1932798968
0.004,-374023.7205056811,-85204.6013628523,-54849.2972958621,-54832.67328276773,43367.63717443616,-120647.11966153185
0.004,-373807.713247265,-78316.19781631797,-41038.63166541174,-62789.81110708337,80668.57047052936,-164806.70470696365
0.004,-50782.358739657255,-71169.15646414142,-26715.541909304517,-68087.19474927385,73086.42980481728,298984.2018734784
0.004,-373635.6048149592,-63819.90111063626,-12420.135903741997,-70429.11897332162,35760.809438655386,28609.14839020472
0.004,-50782.44814663508,-56298.26769686614,1375.5871879581605,-69535.01857460299,-1363.214076840159,-108005.9090665144
0.004,-373557.19489541,-48636.8385018434,14238.59206233896,-65269.950035316535,-18554.70897817301,37077.097099584
0.004,-373347.2673114857,-40895.41476154791,25751.729586647874,-57747.446315552115,-16179.213323683483,-139593.0284163329
0.004,-372964.516039433,-33180.96908547731,35497.66484514787,-47389.24797036707,-9107.085575047095,36731.50764604195
0.004,-372980.6092954408,-25613.071364330575,43124.50349728617,-34791.98235657271,-7807.890782266624,132940.7741204316
0.004,-373185.79830954055,-18294.659446188878,48399.3273220136,-20604.389642491726,-10744.374278532543,-46226.3304956303
0.004,-373417.0941611641,-11312.976730855265,51210.629889828255,-5501.912880672431,-11096.856374599829,22963.080199996184
0.004,-373594.5670121393,-4740.484996924689,51565.590848589185,9833.925732240048,-4161.014046073376,-28479.816144644334
0.004,-373924.2105393661,1364.2542297478437,49582.6520322134,24732.98882432234,8960.508142405633,-35527.822052674936
0.004,-373894.43801575166,6955.693114673461,45479.9446287509,38552.52231377142,22388.87578845894,19072.034490089558
0.004,-373775.34792129375,12000.443367123053,39560.34793680266,50693.41074011148,29395.215630283492,-16608.643016992843
0.004,-373617.2763845058,16476.432329810166,32193.952673214502,60617.70050423559,26303.46356377017,19303.567738501704
0.004,-373401.5373470232,20372.00112720724,23798.682813807492,67867.54352640641,14188.58483683928,3201.4582573398075
