Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-126344.75545224611,3.6752672016859833e-07,8.478764357278123e-10,1.1111822573184327e-10,1.0027179087046534e-10,-1.0913936421275139e-11
0.0,-373024.6869355067,-19.257200670627956,-28.40291127631633,-54.17244513825965,-2196.2251730486105,-50176.11925266698
0.0,-373090.9375060722,-131.3478777088433,-191.45642021712325,-355.428774470083,-11840.066309248637,-31750.997476583078
0.0,-373118.2960412856,-454.0562020897174,-650.5935675799338,-1160.3662823160205,-28807.041379820657,101833.79006016799
0.0,-373072.8772965524,-1101.486677709742,-1541.7265419012758,-2599.3446927720906,-41498.152603137234,57956.46721099838
0.001,-372974.7978418825,-2163.0761795834496,-2937.787153211879,-4595.131000317411,-35946.2832609362,-31950.108641623563
0.001,-372883.78153846046,-3705.5666580884235,-4849.538904591441,-6885.100361291552,-8246.814203725706,-16354.377243684445
0.001,-372846.4094217312,-5774.990093422655,-7229.632465497913,-9071.541103727042,32161.936295298907,-38512.403175874344
0.001,-372846.4094217312,-8398.654952668325,-9979.458151849916,-10691.18674883942,68148.63147816421,-13573.496292787793
0.001,-372687.89085005416,-11587.089272260038,-12958.213336758821,-11293.274411689283,84401.25615485369,9275.052213238305
0.001,-372789.36776988127,-15335.920756458527,-15993.586268025743,-10515.16786006373,74836.71094497808,3365.3364733529597
0.001,-373281.4637758093,-19627.761248078074,-18893.559575132505,-8145.792134100472,44380.667178458854,14489.30839969663
0.001,-373647.1383150981,-24434.08781115694,-21458.716462822777,-4168.9124512200315,5273.019630739132,812.0849759539124
0.001,-373634.8895591366,-29716.950029873453,-23494.211321776118,1219.3571251517071,-29223.28948334412,-959.6109756330261
0.001,-126150.65290339624,-35411.1306435981,-24792.304909386472,7675.086955960977,-48034.96688824027,48940.594511867
0.002,-373575.4339188855,-41409.694428180745,-25121.12194994919,14772.86926057399,-45935.31349413749,-23250.49926210675
0.002,-373527.3329648176,-47610.704736048,-24305.407592667874,21902.484735354916,-31815.009999070553,-133443.17334793197
0.002,-373520.5380345032,-53956.445069186295,-22291.342983244584,28224.856470652565,-23261.142110630433,43498.28886482217
0.002,-373461.0823942521,-60407.65711842681,-19107.65989990977,32858.41012511076,-28111.576253278417,91207.79347471442
0.002,-373346.3732417075,-66921.64535139146,-14829.58109994364,35057.89354134366,-39265.351790415996,-14432.15880705756
0.002,-126343.05671966753,-73434.04432037567,-9547.2968972435,34360.96788680107,-41559.84277070144,72133.9996649721
0.002,-373282.5366595432,-79843.98102278892,-3340.1826304706374,30684.399874227336,-23191.987839558566,-43149.01294443872
0.002,-126342.25205686712,-86040.93767773245,3685.5699360963235,24251.08663860213,11907.454329496293,-106952.35332939313
0.002,-373306.4083226214,-91927.55785289372,11367.190147858875,15502.264563055967,46297.78269811592,31259.92984937798
0.002,-126141.44398468066,-97419.34313657692,19493.04397319206,5062.815444797443,62717.71857557419,-4710.576387200046
0.002,-373306.4083226214,-102444.26193703199,27812.53988706271,-6307.429464501548,54440.32394286994,23500.081900773657
0.002,-373321.69691582886,-106961.61665750737,36019.159065717584,-17826.918314700302,25350.894137358813,-19344.120986446993
0.002,-126324.37066130288,-110958.10082068153,43770.36870649556,-28732.957813700996,-11565.238888201082,54076.32615781552
0.002,-373308.19646217785,-114405.4370613474,50765.51913698753,-38210.2447954484,-36498.7346806694,74149.17320375636
0.002,-126341.80502197804,-117263.71030891324,56752.07637155986,-45471.680079517726,-37178.65553616337,-123703.07133552234
0.002,-373308.4646831113,-119503.71337422832,61501.26437032029,-49896.50313676057,-17771.06588178625,14575.956627798878
0.002,-373311.68333431287,-121125.54156862258,64789.031626339034,-51137.62093752816,5257.20717982647,-50560.26002408222
0.002,-373345.30035797367,-122173.69873903801,66383.01572815973,-49185.36931536231,14436.283786221993,-3906.4619310304115
0.003,-373369.4402419854,-122710.41732331736,66092.6440682105,-44273.0108127612,5932.808639293649,133887.5234055014
0.003,-373323.8426832965,-122792.92029361661,63810.64396833531,-36780.54652727074,-9525.929302853847,-47366.89712331179
0.003,-373323.8426832965,-122473.65745418555,59515.94550244133,-27205.15299104642,-18004.969557523094,9062.225649009895
0.003,-373262.3306825556,-121800.54259968434,53272.81809681272,-16129.971841040737,-12161.734887438022,-13113.342720021188
0.003,-373256.8768569085,-120817.195924643,45226.47025379009,-4192.319147937974,5341.258981975325,-40858.25903200431
0.003,-373243.6446241909,-119563.19020833613,35595.47523722434,7947.911958371227,24941.371140524385,23885.391913873333
0.003,-373166.4864023312,-118074.29260295385,24661.49841723133,19639.057205780504,36496.81215102039,-15013.725692252781
0.003,-373116.8655296404,-116382.69008735928,12756.885588042089,30267.143115536597,34711.391851561624,14787.357330004335
0.003,-373136.80328569456,-114517.21866876521,250.67593076583117,39283.29843300634,21039.909386806292,6120.166993474544
0.003,-373131.7070879588,-112503.60752159814,-12466.35483206369,46228.334627628436,1885.0656837691222,-6179.686842215509
0.003,-373082.7120641127,-110364.7079415286,-24996.950543630453,50753.726920986745,-15194.087574482506,6618.107984580754
0.003,-373076.1853547317,-108120.69817480385,-36952.31450826718,52638.07361290148,-24981.778417909896,-7974.722680611943
0.003,-373094.78200611856,-105789.2904093231,-47966.21479284452,51797.99650096503,-26235.55001380849,1338.3188249103841
0.003,-126355.21606865122,-103366.68050899552,-57679.35163281231,48346.81108552963,-18955.1418192447,50185.495975478
0.003,-126348.06351042552,-100792.67867275009,-65700.90905934588,42676.60143705135,-1628.2984662293734,30273.308411115624
0.003,-373048.1115636959,-97980.27331799683,-71668.52828553242,35319.16201814773,20159.731377543158,-149075.01666185143
0.003,-126088.78327474395,-94879.48342548816,-75356.58780495082,26708.744386820734,30152.699938123635,-40866.55643901488
0.003,-372814.0440957599,-91472.53420048078,-76673.95788747798,17182.75458731318,17678.685879062978,116380.38820045274
0.003,-372868.492945253,-87769.32728084283,-75656.16706083083,7005.140864217247,-13886.277618048192,-59575.6361507568
0.003,-124602.48167544384,-83803.08250039653,-72452.58723913817,-3595.592120104801,-49376.190934382554,100124.00438237836
0.003,-373344.6745091289,-79587.74303211953,-67252.91795054247,-14275.240255878174,-66678.11836570913,69059.6156922936
0.003,-125946.80499396384,-75121.41721324182,-60282.81808078549,-24584.050756711265,-53406.378020764,-148104.61105911311
0.003,-126312.47953325268,-70389.45090518855,-51798.56405881638,-33995.806982724185,-14224.636382814675,81767.73608744044
0.004,-373787.7754912109,-65367.005836340606,-42080.65936437178,-41951.58871905568,33081.43048760325,-92202.89297848524
0.004,-373782.14285160817,-60079.35458576973,-31512.410674591123,-48076.40790317981,61518.95584935648,-126067.5817266358
0.004,-126336.35119633094,-54593.65965038797,-20550.617801570315,-52164.60089687088,55688.23022537096,228837.3085060711
0.004,-373757.1088978182,-48953.37411232402,-9609.011232194991,-53987.38248518623,27177.302190680857,21882.842064217766
0.004,-126341.35798708892,-43181.57867340805,950.8537654109905,-53327.710960399236,-1124.8939953889428,-82763.20048726452
0.004,-373827.91922425263,-37303.43885492881,10797.2936646117,-50080.37273602382,-14164.097127534007,28355.635901995498
0.004,-373831.6743173211,-31364.98311214572,19610.771608454663,-44331.01208701444,-12267.881529681645,-106963.8410887077
0.004,-373788.66956098913,-25448.4331084605,27071.51878288781,-36402.10951781258,-6848.498887477396,28110.574855398736
0.004,-373698.6367343231,-19645.706395715577,32909.83150167945,-26750.819760181774,-5911.395199777651,101977.97045198306
0.004,-373665.8243734628,-14035.936857783128,36947.221262477986,-15874.60775092118,-8231.406267473845,-35248.78971654362
0.004,-373640.8798266506,-8686.095919192096,39098.42408935721,-4291.453845649078,-8528.600638675152,17631.96315988718
0.004,-373504.8024064067,-3651.6536630668243,39369.353070888676,7476.046709196602,-3171.4605533313957,-21900.040823416828
0.004,-373385.17587008193,1022.7524690759133,37851.38982031794,18914.01788174636,6978.1750155064965,-27289.592993894817
