Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-94424.85504446688,2.746743010817454e-07,6.336673408213755e-10,8.304468224196171e-11,7.491962605854496e-11,-7.275957614183426e-12
0.0,-372970.1486790358,-21.744787335325146,-32.071912838823145,-61.17027658966059,-2479.9268511065684,-56657.71749910545
0.0,-372748.0617461279,-148.2918192900697,-216.15399262150441,-401.2767807978624,-13366.886708028323,-35792.10435026056
0.0,-372497.09635938366,-512.5297163437356,-734.3723883271151,-1309.7692019321046,-32511.488227328304,115083.89861244604
0.0,-372757.36007182125,-1243.1011784626091,-1739.9162353406457,-2933.385987028401,-46813.33640805671,65293.41899782285
0.001,-373037.47213333513,-2440.8478500986603,-3314.969697471114,-5184.796941363052,-40525.3008912612,-36382.99995522187
0.001,-373544.5885115372,-4181.208166408086,-5471.886091672701,-7768.159828617489,-9282.023787723328,-18540.364010422592
0.001,-373916.25331834,-6516.522722026265,-8157.840975898723,-10235.930780982377,36236.50274014014,-43359.17360523084
0.001,-373916.25331834,-9478.204092842901,-11262.415699767673,-12066.844974224634,76720.39334947261,-15011.955507718121
0.001,-373770.5199444914,-13078.76282335454,-14627.531342520035,-12753.228593984086,94966.70652700623,10769.338101151967
0.001,-373531.7139067309,-17313.776491983932,-18059.23853641951,-11885.730609566079,84195.19158014005,3815.4795317732933
0.001,-373395.01063764223,-22163.882930134707,-21340.823324605673,-9224.574433304375,50002.768613039014,16374.225138233698
0.001,-373229.60772867297,-27596.77828493384,-24246.526686778758,-4748.352763729287,6169.46206566519,831.8870365035255
0.001,-373054.54886609904,-33569.15369981297,-26555.12471172106,1325.612855707387,-32440.32084972268,-1446.3929056901397
0.001,-94046.48471432742,-40006.761112698885,-28030.597306974916,8612.831993127715,-53475.62458434876,54859.428098568984
0.002,-372686.9073732981,-46788.2846972532,-28409.793475303162,16635.402412937266,-51153.90723067633,-26202.26807560982
0.002,-372387.7516255083,-53798.02984380891,-27493.59037755251,24705.157063384344,-35510.53609015067,-150165.43533286976
0.002,-372703.2688502394,-60970.15534252414,-25220.056140848632,31873.949554097337,-26278.291296809246,49095.07594403124
0.002,-373020.7530284826,-68259.77086552662,-21620.871525460734,37143.612909001655,-32157.777144561336,102651.62252486634
0.002,-373474.3146269697,-75618.40883815983,-16780.92535025252,39667.703591819394,-45035.68199297936,-16307.038017106854
0.002,-94163.8760762067,-82973.42211716049,-10802.677425091473,38917.80761196561,-47751.70471327389,81644.83903689697
0.002,-373862.4303176917,-90211.10359753446,-3776.8068515921964,34793.44696314866,-26969.98085398343,-48512.29816157144
0.002,-94150.8226574448,-97206.93606493592,4175.484135087219,27540.821793656763,12854.311850334205,-120739.5424159357
0.002,-373799.9348401946,-103851.26984180226,12869.043792280961,17654.630789237664,51987.18610799013,35349.171784236954
0.002,-93928.55691058125,-110048.93396761261,22063.617629570945,5839.4830526435435,70875.37674740025,-5457.530616224638
0.002,-373799.9348401946,-115718.80598439912,31475.07342767293,-7045.006051651058,61845.283975226186,26383.519693361988
0.002,-373684.1528039161,-120815.1750004699,40756.20090965157,-20112.44048018428,29207.447431909346,-21957.080927392446
0.002,-94092.88693581664,-125323.26690476375,49519.27562777666,-32495.846687567304,-12415.69897054549,61247.470819693466
0.002,-373540.1181626461,-129211.28038735145,57424.245338693756,-43267.264538550065,-40633.32319940529,83976.5044693237
0.002,-94099.95008706451,-132434.17096713098,64185.7481808235,-51529.934149085995,-41536.95942683026,-140003.78463928273
0.002,-373410.656858761,-134958.96219958458,69545.48555415547,-56575.44068596083,-19787.974327648302,16507.966694973482
0.002,-373283.4307293214,-136785.7711782729,73250.6744614568,-58005.83592820919,6043.965817592643,-57148.727897319346
0.002,-373185.5300886071,-137964.8794213918,75039.29019149356,-55806.331039608944,16244.959602268427,-4441.8254562738
0.003,-373013.2428423456,-138566.54176088894,74696.71271671879,-50238.805292648336,6505.8995077918535,151487.90287222184
0.003,-372564.419813683,-138655.2424794239,72102.66781588242,-41733.16239844917,-11032.658902249204,-53562.74705708288
0.003,-372564.419813683,-138289.95232466763,67234.47252587456,-30853.871800357465,-20618.838289936648,10216.174215875784
0.003,-372660.2640939074,-137524.47574061938,60165.88581445013,-18264.688504448743,-13976.738872819678,-15033.393687148186
0.003,-373056.6052265889,-136407.8724653879,51061.86687729378,-4692.664959114326,5838.475817408322,-46372.378785658395
0.003,-373694.4346063656,-134984.86794619984,40169.79119201435,9107.940657500347,27975.13079775244,27001.673004427445
0.003,-373882.36807374575,-133296.1861122998,27807.75638857753,22391.314462451355,40961.881397207224,-16866.8379758034
0.003,-373711.2431181959,-131378.70929302668,14350.730523393147,34454.78817054319,38861.39109937519,17121.49937032009
0.003,-373598.7691400969,-129265.53359184317,215.09543635204332,44671.4415413465,23408.66873489247,7176.819483356405
0.003,-373463.9434175424,-126986.11023490106,-14158.016714815996,52518.97670531326,1910.9097232826643,-7095.588462941378
0.003,-373287.3646363455,-124566.4853062916,-28319.914294168997,57603.74867633415,-17098.03740663571,7281.038108548717
0.003,-373149.6778905008,-122029.55174663108,-41831.25381532766,59679.13804956503,-27817.742016665652,-9208.435147505865
0.003,-372981.5033652191,-119395.29724375744,-54278.00655955712,58657.28978684887,-28972.693374804523,1455.580676872385
0.003,-93870.97881686436,-116659.27206808285,-65253.80244349911,54674.60373999777,-20657.910606666323,56786.02116092849
0.003,-93848.18003751994,-113753.19065074819,-74316.51506108863,48183.463028961676,-1185.6031783373096,34239.58826572237
0.003,-372530.6239760666,-110578.39224681086,-81056.14319440327,39793.88283652824,23180.332984370445,-168498.56985094544
0.003,-93579.06503427804,-107078.06564679828,-85217.30427626548,30004.24409567278,34153.17581767356,-46201.819334515414
0.003,-372533.5744063347,-103231.85715654357,-86696.80689718259,19201.178878478706,19756.256843847706,131480.64798003226
0.003,-372813.5970608708,-99050.80224232761,-85534.88122405931,7685.443637562519,-16138.044480137734,-67331.53947410412
0.003,-92078.45831852657,-94572.39314858973,-81900.67771845715,-4285.152438695516,-56362.60426199983,113280.14217619269
0.003,-373247.4891242372,-89812.37398791195,-76009.06453871175,-16324.477009939927,-75918.45892634302,78163.2013981323
0.003,-93394.88665996632,-84768.56975773485,-68115.5769310113,-27928.88561037124,-60815.74995920857,-167368.952957788
0.003,-93742.3221757796,-79424.32547919427,-58510.309890316035,-38509.387300834576,-16351.388209187471,92382.14775911673
