Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-578578.570911714,1.6830384765853523e-06,3.882746568706352e-09,5.088480747872381e-10,4.5929482439532876e-10,-4.3655745685100555e-11
0.0,-578652.3316684165,-0.0057564899592321694,-0.008492864652410503,-0.016198319807642747,-0.6567021061073319,-15.003362868752447
0.0,-578738.1623671249,-0.045972046352467544,-0.06712847873892258,-0.12512278853246528,-4.304331844575245,-26.948422405315796
0.0,-578754.3450301106,-0.18271945860544037,-0.2629969365987961,-0.4741533535575684,-12.876231789020494,16.1194292591681
0.0,-578710.088576089,-0.49245286176182645,-0.6947553574391634,-1.1944420516365426,-22.810648869103716,59.677199839032255
0.0,-578750.6793440199,-1.039292619080939,-1.4276782694432342,-2.2993592336922575,-25.307930891510296,14.703794421293424
0.0,-578837.2252985508,-1.87953086596292,-2.497769013694878,-3.6968144758045582,-15.241113348289218,-53.32717832076014
0.001,-578857.8783104275,-3.0823853549864353,-3.941285585918976,-5.262630043927999,2.7522785346391174,-28.266122442524647
0.001,-578826.138833301,-4.7241973280705665,-5.784207653887307,-6.837350242769915,19.813894167905346,36.304234141091
0.001,-578830.6985891699,-6.8642112979692556,-8.005216971789395,-8.1768432858496,31.105929178342194,25.222447601539898
0.001,-578920.3737879245,-9.543497608391405,-10.5361665656378,-8.987735243660396,35.6596253496964,-30.75958919484401
0.001,-578962.0374395893,-12.807171747126965,-13.299234285044868,-9.037503293089216,32.117996192865576,-31.759748988159117
0.001,-578956.8518348756,-16.71016871023258,-16.219148019392463,-8.204024489492852,20.025059748145395,24.74051958351629
0.001,-579006.9197424555,-21.30272249736167,-19.204805643406004,-6.450909233496873,3.363393719026135,24.14964836621948
0.001,-579110.721243706,-26.63187539190023,-22.155715847579984,-3.841707403912224,-12.167184670921415,-27.696204019419383
0.001,-579190.0252330333,-32.760273103349114,-24.994177751100253,-0.5910406963857326,-24.123496637231256,-18.250514826286235
0.001,-579192.8862563237,-39.76681503422936,-27.66858129897504,2.9601421998637534,-32.111180349764254,30.507293773218407
0.001,-579452.0770850274,-47.74219256570148,-30.147692371611114,6.400559186688227,-35.7376895076377,-12.356443173383013
0.482,-579420.5164218565,-56.80178358347322,-32.439686927621096,9.263160435319165,-36.04567563402816,-23.368538899128907
0.482,-579488.3763180228,-67.07211360428558,-34.56973548591732,11.125531946364816,-32.36952157704036,75.31237366796995
0.482,-579551.8552722759,-78.6602805584831,-36.53232867434893,11.74879132214599,-20.472216839142675,6.258843575589708
0.482,-579547.5637373405,-91.64791683282868,-38.282915675059556,11.11282579597055,1.6759810294570343,-34.10688228001527
0.482,-579495.0818413594,-106.07927776348532,-39.72339628288681,9.436141488013078,31.424291456304672,39.85491551444284
0.482,-579551.1400164533,-121.94568503633494,-40.68563040591104,7.171076479513559,62.48378437183965,-32.074108972388785
0.482,-579628.5664592464,-139.2028990479226,-40.96779984673316,4.8715908240760655,83.94354219317302,-61.73407454053813
0.482,-579635.1825756052,-157.79693028461853,-40.38412877507767,3.0318851399379696,83.8189957669274,1.0775020211585797
0.482,-579617.301180041,-177.65972033980626,-38.7680552370898,2.031224288144017,58.843354655493386,43.343969865789404
0.482,-579661.3788201069,-198.69499926086354,-35.95993452053325,2.125827185937567,18.453976670733027,23.344127442818717
0.482,-579741.5768792125,-220.7888558094542,-31.83140375631241,3.385577557162634,-22.849559749218315,-32.66016100462002
0.482,-579774.9256819398,-243.8303252354683,-26.3225619641715,5.630965215144798,-54.53104305783472,-12.85573519434547
0.482,-579769.1142283814,-267.71055621772103,-19.443337407404584,8.470498847701265,-71.39761700971849,27.72740269829228
0.482,-579822.4901941407,-292.31019093252917,-11.25420494264604,11.399506923102166,-71.7403321108286,9.38866513891844
0.482,-579957.7629515843,-317.5091889475331,-1.8784018054359706,13.845324151210235,-58.889434493687986,-38.11332331239828
0.483,-580040.0173711798,-343.21359780305636,8.463920841545615,15.174892478545019,-41.79792563183037,-26.513120886782417
0.483,-580039.7491502463,-369.3567288918371,19.464794350154435,14.791193110946153,-28.17643467502603,46.036918324040016
0.483,-580062.8161505242,-395.871256573854,30.784329493543964,12.309469043115584,-17.230468576241037,48.28305131875095
0.483,-580184.1414194276,-422.67908139977453,42.08015021366762,7.647821555146251,-3.304048792163485,-28.14293091253785
0.483,-580239.7525596324,-449.71031315522185,52.992855522833565,0.9925181304710406,14.856132734350467,-41.03073742771812
0.483,-580218.1160709996,-476.90561621716176,63.15714428268603,-7.217644524824891,33.35456804736532,26.817462087390595
0.483,-580199.6982335685,-504.1890716153287,72.25650194243586,-16.252793658068427,49.292799899089005,38.53482417660416
0.483,-580281.0585833858,-531.4566508544212,80.05105092793592,-25.141986396540048,61.397368201391146,-26.594820419049938
0.483,-580338.8154910583,-558.5980559564788,86.35179068034869,-32.85302676973234,65.68309292832419,-46.92864883474249
0.483,-580323.1692699397,-585.5113612918904,91.00407633760008,-38.45393714018398,57.076156840217664,12.192851954969228
0.483,-580390.0456893499,-612.0944010026657,93.90484963282958,-41.1913300600137,35.601264251061366,25.36389678255364
0.483,-580462.018306496,-638.2468310792285,95.00186701950021,-40.58045709696475,6.59147851432499,-20.74931883625686
0.483,-580470.0649344999,-663.8810387782096,94.27818486973192,-36.4900009984851,-22.926787016331218,7.340284274992882
0.483,-580479.005632282,-688.9141002083727,91.76415885469939,-29.13114026176048,-45.21951394557436,33.6244674960908
0.483,-580575.028726462,-713.2607444837638,87.54614857046724,-19.01594191126054,-54.36288292817153,-20.10717141252826
0.483,-580733.5472981391,-736.8556451878972,81.72973188234961,-6.9715905265610445,-51.74648064633675,-52.37069238870754
0.483,-580769.041868334,-759.6768520728788,74.4021222836134,5.881220378314779,-45.31667959227252,-0.0765505164017668
0.483,-580739.8057865865,-781.7268023986301,65.66000061723034,18.30970814874088,-39.591879841611444,76.04377039035899
0.483,-580771.9922986021,-802.9941185195877,55.665184468523265,29.209677545021904,-30.078053543332317,36.59889357145585
0.483,-580877.9395673203,-823.4515062021053,44.6426762325203,37.71139402906523,-11.30828496549475,-55.123735404442414
0.483,-580918.619742229,-843.0804353354415,32.83635582106534,43.17606305778199,13.766853467393048,-41.059717800846556
0.483,-580895.1951140398,-861.8719866017152,20.50041038569428,45.24041084402468,36.53843475461508,25.912187772410107
0.483,-580908.0697188461,-879.8039313305931,7.925823751414995,43.901336980099884,51.14749336088971,29.00091736027389
0.483,-581004.629254893,-896.8384057822733,-4.566006938388689,39.49851418471988,55.723757087002014,-27.48505045553611
0.483,-581039.140348332,-912.943606675378,-16.66652994045205,32.594242924896946,48.997325005126186,-27.95418678416172
0.483,-581012.5864759191,-928.0968106646537,-28.094033999603624,23.895986775044534,31.940568836492275,34.26621853557299
0.484,-581005.5233246712,-942.2628769822464,-38.569932527439136,14.243115966262252,11.120524545967783,32.54396220370836
0.484,-581092.15868618,-955.38999640951,-47.82138374555666,4.5311492015767385,-5.427908721831955,-30.09468924353132
0.484,-581141.6007449152,-967.4325858588545,-55.62417724695577,-4.4432464969772525,-15.54776854751799,-39.64698267262429
0.484,-581141.6007449152,-978.362503857732,-61.82537575707285,-12.080129601352624,-22.359553709276952,16.409587131915032
0.484,-581116.209163214,-988.1523528369788,-66.32119364075257,-17.963484749209343,-27.390914304843136,40.59438600845169
0.484,-581209.1924201479,-996.7652805306237,-69.04335968676756,-21.84906372666626,-28.912547965830527,-9.956556830380578
0.484,-581281.8802931167,-1004.1741688735964,-69.98832781049663,-23.72156548203104,-26.94799446421166,-44.24315546719299
0.484,-581321.1299563801,-1010.3796545169704,-69.24159777846687,-23.819923567709935,-24.62420268243841,2.6798449061607243
0.484,-581336.0609216763,-1015.4011686763547,-66.9578851596573,-22.554210417874685,-23.308914687449032,35.83697063149884
0.484,-581420.4611087396,-1019.2646577257993,-63.334256148788924,-20.400578978293197,-20.64716662887804,2.6349359205778455
0.484,-581524.1732030122,-1022.0113289316623,-58.61372663137138,-17.859114216862423,-14.752165612208955,-26.58222498423129
0.484,-581558.5948894734,-1023.7087167155593,-53.09064008417441,-15.420225278086065,-6.803728233407128,-0.7058978167624446
0.484,-581563.5122732535,-1024.4373945966563,-47.07799278922559,-13.465418499027749,2.1800526186461866,38.370178404671606
0.484,-581650.8628905849,-1024.2729359155785,-40.868215165409964,-12.176661979465578,13.082045781079614,1.513822475753841
0.484,-581767.9860315307,-1023.2953181339699,-34.73699938628367,-11.558275599627947,24.579995006265563,-46.38084575893299
0.484,-581776.7479153571,-1021.6028743209822,-28.954850718027146,-11.493785362109378,31.89106110871853,1.4010478968266398
0.484,-581742.6838568073,-1019.2927644729409,-23.74922209074549,-11.71855605062251,33.01783196962606,56.0744358398515
0.484,-581767.1813687303,-1016.4313340055467,-19.25484106910868,-11.78728301437863,31.91525518461731,13.392391390851117
0.484,-581857.6612302853,-1013.058616537372,-15.520325989997616,-11.170587902250205,32.012301332743846,-51.468058824160835
0.484,-581875.7214398052,-1009.2123252674888,-12.547468813122876,-9.416780534317326,30.56608991694702,-30.270905807439703
0.484,-581844.0713696565,-1004.9269964028398,-10.294664133307862,-6.224427988608099,23.11283047746565,33.83816410844156
0.484,-581865.2608234001,-1000.2147893769592,-8.654762576563137,-1.4413625364492333,10.025466308161413,24.274004502149182
0.484,-581963.3402780701,-995.0701739281558,-7.471510259298029,4.882825532218149,-5.3115557365608765,-35.189748279808555
0.484,-581990.3411853721,-989.4940496936756,-6.586147375871029,12.415966614110687,-21.274598776042694,-21.836426945737912
0.485,-581969.5093595397,-983.4946705921433,-5.848048685361292,20.572096465667443,-36.2594590109793,38.08081130697974
0.485,-581976.3042898541,-977.0668532157971,-5.0920663474235965,28.635737200045384,-45.347728834115514,27.80633479784592
0.485,-582063.2972792742,-970.1904545083162,-4.14527465523944,35.84188440013506,-44.04934492848679,-30.260658711762517
0.485,-582149.9326407829,-962.854892264841,-2.8721175723208745,41.38765051451415,-34.41626939650541,-41.11500536296808
0.485,-582182.387373732,-955.0747008298471,-1.203002428637106,44.48372951854665,-23.526418364302117,7.258746885039727
0.485,-582186.2318737784,-946.876770213447,0.883182738988296,44.49449396539448,-15.678208013236144,44.101270316241425
0.485,-582295.0401657867,-938.2869371004285,3.3795218260294178,41.06277880275417,-9.449373335603923,3.5447421274293447
0.485,-582401.434469394,-929.3434275485341,6.232632034396829,34.124771031720584,-2.901559500890471,-40.430173940738314
0.485,-582433.3527604763,-920.1103933267738,9.326757465629555,23.89782945211404,3.3038438125349785,6.033173196716234
0.485,-582436.8396326113,-910.6607592710201,12.516576429826074,10.931669675821041,9.513846738243046,45.47008601851121
0.485,-582519.1834591846,-901.0555197461408,15.665649106387193,-3.870463554171309,18.250325946760313,-1.190653653407935
0.485,-582603.3154253144,-891.3507913387263,18.642137413359308,-19.35605784228754,29.3052709723479,-38.41790325046168
0.485,-582608.1434021167,-881.6080987559886,21.309406027359117,-34.26386099049951,38.17653978397266,0.7142872699187137
0.485,-582585.7916576614,-871.8782515503704,23.555985615218205,-47.298713089914926,41.5256844411133,38.66570464888355
0.485,-582616.1900301207,-862.1813948778994,25.32904557875419,-57.205858041585515,40.3011144612592,2.986021026794333
0.485,-582700.2325892727,-852.5154511244815,26.62205498992472,-62.932137196167915,35.60904597116496,-42.72565791368834
0.485,-582717.1305080808,-842.8771511006046,27.441910629457894,-63.8029840855765,25.49717447324565,-18.991131587172276
0.485,-582705.6864149197,-833.2608854143147,27.809219835503797,-59.59090726548466,8.85693135481597,32.5153429612692
0.485,-582728.3957872863,-823.6435350669823,27.77885748996725,-50.49765032844856,-10.530579506888898,20.05613118686597
0.485,-582819.2332767526,-813.9890210199079,27.42938190615456,-37.15458693998245,-27.199550177931997,-28.347352704862715
0.485,-582841.9426491193,-804.2673652829673,26.83035930026564,-20.62159484786541,-38.853443230634184,-17.036667928943643
0.485,-582830.4091489803,-794.4541742097388,26.040198809800415,-2.2816669939025473,-45.00688474562503,30.857536879979307
0.485,-582862.059219129,-784.5148587072695,25.127403028658847,16.339767161166435,-43.95486716354026,16.999679569446016
0.485,-582862.059219129,-774.401204446202,24.172672271387313,33.72661166485841,-34.42887962650184,-14.366030480581685
0.485,-583003.59046502,-764.0655548662174,23.244428430111526,48.467203098937034,-19.23080138205387,-28.240328738917015
0.485,-583077.1724077669,-753.4854739255519,22.360257901961134,59.31160868809977,-5.985587489595673,-37.21304745376983
0.486,-583113.7398616958,-742.6720976212077,21.476188812159577,65.26934868747077,-1.4934884075100854,31.81577632809058
0.486,-583127.3297223246,-731.6493577468436,20.52248302645812,65.77124598065984,-4.322480058750443,57.65635842383199
0.486,-583236.2274213108,-720.4397337513585,19.430127721883764,60.76645868933147,-6.415199394877163,-11.553300290222978
0.486,-583330.3729689566,-709.0771241372335,18.11643523082772,50.685820083813326,-2.1703278537543156,-35.61667865475465
0.486,-583338.4195969605,-697.6148680873295,16.47878020268304,36.37591946868508,7.706554973928178,5.117279968879302
0.486,-583315.8890385496,-686.1031726488334,14.434624572720551,19.08466684269908,20.850116067194904,43.92428758581809
0.486,-583382.4078300486,-674.5672289029953,11.95836289393391,0.3999772193544402,35.844421266547215,-3.671863932235283
0.486,-583444.8139005678,-663.0174420246021,9.066789938289617,-17.944102843087734,48.750622622595074,-48.813345558941364
0.486,-583432.2969236728,-651.4632599889579,5.797466347503288,-34.28212654291353,53.06859896021706,2.1417153964866884
0.486,-583392.5108185423,-639.899436496445,2.2273836956280917,-47.13845179872058,46.12203454642167,38.750108174965135
0.486,-583448.211365725,-628.2916570376777,-1.5098211067657132,-55.328340704133694,31.424616393350334,-4.520956467706128
0.486,-583528.8564597197,-616.5938950653815,-5.256738368661075,-58.123615885914916,12.953815227703672,-47.18758436127973
0.486,-583535.3831691007,-604.7714335506907,-8.873627411665623,-55.381794736329994,-8.270263933883143,-5.1043636540998705
0.486,-583507.5775989983,-592.7929852451215,-12.232069555077551,-47.51793874494115,-29.908818029060058,47.818319526908454
0.486,-583545.8437855057,-580.6125113923524,-15.192900240725692,-35.39218466858006,-45.82067869912407,13.0465319227078
0.486,-583626.3100655449,-568.1775154124224,-17.624381870573373,-20.237065269344413,-51.37345887722404,-37.57482231964241
0.486,-583671.5499963225,-555.4511549063434,-19.440005613711833,-3.5897072150273033,-48.11479614373093,-20.46896763087716
0.486,-583672.1758451671,-542.4139443168684,-20.60295489223195,12.867597217539668,-40.48647189832991,24.850127222933224
0.486,-583730.2009737731,-529.0506825311267,-21.10625856025804,27.52048604118312,-30.663649119695947,18.300506075378507
0.486,-583871.7322196641,-515.3571277309268,-20.98135113104952,38.963222505006684,-19.71509302949562,-33.14369152893778
0.486,-583934.5853250725,-501.3620326649916,-20.327420248646106,46.07162198413721,-10.553030241920169,-19.0791798181599
0.486,-583933.6018483165,-487.12229185999934,-19.29711432943924,48.12900710440297,-4.542344688330559,50.057459111194476
0.486,-583972.1362557574,-472.6939391907854,-18.044564345555486,44.97760968753525,2.3352068547728777,34.315622180190985
0.486,-584082.9115012779,-458.125365324329,-16.70788715621964,37.038426517019985,14.581471468492055,-35.985821564056096
0.487,-584128.3302460111,-443.47400369159794,-15.427979369938939,25.200449187215014,30.34990540592935,-30.832268364727497
0.487,-584099.4517921748,-428.8029246956165,-14.337260228857687,10.72555373470638,43.83516143103952,29.91852655285038
0.487,-584084.87845479,-414.1529751138054,-13.513196558897675,-4.812283834797924,52.192831638830285,33.94793228628987
0.487,-584180.9909559478,-399.53519466007197,-12.965914845265516,-19.683275299522904,55.250541202173736,-33.0283652524231
0.487,-584231.1482705055,-384.9553548099138,-12.677039691430977,-32.26553668661933,50.49146615281188,-47.87425311280822
0.729,-584216.2173052094,-370.4259348673073,-12.620300962702274,-41.24872578671298,34.786872824378406,22.206177067389945
0.729,-584191.362165375,-355.9467044228305,-12.735434279453841,-45.704458911095514,10.994919431026574,45.54989496029157
0.729,-584259.1326545635,-341.49287504398285,-12.915476554597817,-45.13956837961592,-12.632728188982583,-10.639274316097726
0.729,-584320.8234692602,-327.0333495913803,-13.04104598004156,-39.59272209672173,-30.20794898256736,-40.63625096353644
0.729,-584319.1247366816,-312.5469022935956,-13.011100268608033,-29.66436356371304,-41.26960564106412,2.6638670616521267
0.729,-584322.87982975,-298.0124453326064,-12.733475903040244,-16.409102959388434,-46.45320591388281,33.21368135609373
0.729,-584427.7542147344,-283.40335303534783,-12.121063212302502,-1.1971791831167309,-45.61506361753072,-14.317607879827847
0.729,-584559.2718791094,-268.7110681407269,-11.130981137899454,14.367318964983696,-41.26877475711717,-45.69009715493303
0.729,-584604.1541819756,-253.9660961548486,-9.796549882343797,28.563553286300703,-38.11113645692876,9.375045315813622
0.729,-584585.2893096554,-239.22019893803815,-8.197222514239137,39.798414771787066,-36.064769865723974,65.25110770425817
0.73,-584652.7021709325,-224.51577681945133,-6.4081398690530165,46.86520258625811,-28.252699701250094,22.942901131886174
0.73,-584774.9215096142,-209.88950736206044,-4.502041585580358,49.04772763020415,-9.776915862441456,-53.919012701153406
0.73,-584836.9699522222,-195.39603553400653,-2.581085768250702,46.11046617368061,14.914811334442675,-32.97652085388836
0.73,-584838.4898708451,-181.10486412968217,-0.7669026476561527,38.32060076035137,36.76089290013442,34.74131818697788
0.73,-584834.9135917323,-167.07227928646586,0.8468401685376818,26.489693700453472,50.993848771237026,37.17210002132924
0.73,-584926.10870911,-153.32969256429715,2.2148271927993903,11.904370036744439,57.900324126329906,-16.296437172903097
0.73,-584958.0270001921,-139.8985729584229,3.318113972665259,-3.8710062796064193,57.5730456913534,-36.49463648471283
0.73,-584922.7112439527,-126.7941317430408,4.157981444149598,-19.18013322242173,49.50742448485016,20.025917489809217
0.73,-584918.1514880838,-114.00600531935505,4.782964145015015,-32.39695640835389,36.26470773449182,28.97598859827849
0.73,-585013.0122915521,-101.49692034290655,5.286312888161035,-42.09610664287209,21.49352439759059,-37.885447390784975
0.73,-585068.7128387347,-89.22966067694516,5.759598645647145,-47.27883585942811,4.9084132994757965,-38.153901430239785
0.73,-585056.6428967289,-77.17875894869397,6.270392986417335,-47.496640352442085,-15.4007357398159,27.90703113716154
0.73,-585020.0754428001,-65.3097067048059,6.8899454122045825,-42.8151901034492,-36.122370770419366,50.395788958572666
0.73,-585106.8002112866,-53.56586111220172,7.708714380560295,-33.751321133631365,-49.5547958848465,-9.688334921505884
0.73,-585212.7474800048,-41.89229000628942,8.796024048658907,-21.27573360060046,-52.369501298234354,-60.90244689780229
0.73,-585244.7551780648,-30.262140995032482,10.158201513280133,-6.772184466718201,-48.69840100304555,-6.969259677804075
0.73,-585285.8823878625,-18.670133149363323,11.749663352015446,8.146194407863533,-43.27428009968753,43.96044910130149
0.73,-585367.8685865246,-7.118723782254278,13.497199678468576,21.86039905438912,-36.46998293545312,7.2673644850437995
0.73,-585468.0938086621,4.375778828733658,15.295500287669654,32.90234471130435,-26.93679123385664,-16.776791607771884
0.73,-585530.0528442923,15.77413278356316,16.99993442881221,40.0823060936969,-14.703663893168596,-0.034489036828745157
0.73,-585515.3900999296,27.02602506897908,18.452344138006964,42.64443110275826,0.16893853730198316,29.175535146903712
0.73,-585594.0682404123,38.0909745036514,19.520076714704103,40.39436848501563,18.665942342108792,13.258450138368062
0.73,-585690.9854043705,48.93518709026083,20.097062708069842,33.688425177068694,38.938633324326474,-45.75288724874554
0.73,-585698.7638114409,59.51800092936947,20.088088824963947,23.33381714173578,54.58640495313284,-8.762643368376303
0.73,-585669.6171366712,69.80607211508216,19.433943331126272,10.52665039478822,60.74998228243476,48.92266086167365
0.73,-585723.9765791865,79.79456392195851,18.144513312900173,-3.231344488265819,58.21821428414114,0.1619736257562181
0.73,-585787.723754373,89.49817227711159,16.28308749745733,-16.337065297318134,49.158480572320514,-41.80748593871249
0.73,-585805.5157429595,98.93265120679965,13.934536039677397,-27.320403681032914,33.63346675305729,-8.467010523585486
0.73,-585777.7101728572,108.12017875035576,11.20873316197499,-34.98327804362344,12.826483703935992,30.85505582418409
0.73,-585800.2407312681,117.10490162923446,8.257956040841592,-38.4750312838045,-8.309632259244609,15.155015349868336
0.73,-585896.3532324259,125.94550662471838,5.2580016803859735,-37.39706789611188,-25.066086935445128,-35.23925993872399
0.73,-585923.1753257723,134.69189680543616,2.365367424307209,-31.900522041327918,-37.303220267785036,-24.00037310058542
0.731,-585909.7642790991,143.3839900159445,-0.2905661432169637,-22.653352955801097,-46.32907849993353,37.1440446600609
0.731,-585934.1723840443,152.06958813606312,-2.5854537321209676,-10.697282349852173,-50.23662957104261,24.571495154945296
0.731,-586056.6599436593,160.80054139181468,-4.41025525669653,2.6642083383545128,-46.73211165077191,-36.63923508916923
0.731,-586147.855061037,169.60484510178844,-5.7160525531707975,15.93262656582533,-38.39542492185592,-36.36505339076393
0.731,-586179.9521660748,178.47587905612602,-6.529387545722962,27.555436377332086,-30.290646425487466,24.0044228220504
0.731,-586232.7022829893,187.38986005109777,-6.921820683818979,36.1542663331451,-23.357675968808508,41.55901489534881
0.731,-586336.2355633064,196.31637484790232,-6.988457458157178,40.70586828243276,-14.391226040464062,-7.853636676241877
0.731,-586421.887448059,205.20915214160948,-6.855350690363615,40.62042431000546,-1.5855373725480604,-21.87147036723036
0.731,-586441.6463901575,214.0051873462287,-6.673130534867333,35.79642467991579,13.763883900282963,14.256153648166219
0.731,-586393.1878081785,222.64951322308184,-6.57199628903431,26.69518063247733,30.78201143219394,39.50457991933217
0.731,-586455.0574368307,231.11910226470252,-6.620540713652211,14.343489640594726,49.72457454063533,-0.8327599623444257
0.731,-586550.0076472769,239.4108966756413,-6.842053247377926,0.16430531849928798,66.71434335544836,-65.07403236777463
0.731,-586540.7987285613,247.51860338191355,-7.249441631064855,-14.262214562691156,72.78964681000616,-15.260452676055138
0.731,-586504.4994955659,255.44357452464237,-7.829428963177278,-27.344171457228683,62.631505549719805,56.18349178780045
0.731,-586544.8220425632,263.21582705654765,-8.513462279538075,-37.591621680441506,40.12311957683596,8.598393004285754
0.731,-586637.7158925195,270.8814022679859,-9.201835270650584,-43.81667760115474,12.602867460044763,-44.656904243063764
0.731,-586650.6799043036,278.47711454313713,-9.807267274804715,-45.329244080021425,-15.38534619753591,-12.9129975875112
1.188,-586616.1688108646,286.03552900349,-10.251886891842247,-41.98041516669301,-39.963435528741684,42.273533784915344
