Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.366,76803.72319265881,3.5189514383308147,5.200156314743188,9.955647258066012,421.77997882510454,10164.315564767363
0.366,77131.66798730708,24.122856760951734,35.33951465798704,66.33669660435692,2420.517291045639,18432.31234236838
0.366,74115.16596259666,83.77112967994674,121.19556542868867,221.01725899979576,6492.348598985201,-10925.837779319583
0.366,72820.99995863438,204.0076423091778,290.1754397228172,508.3902922147032,10980.211567606273,-35796.458356336094
0.366,75059.48246234447,402.15342230610577,559.7490172349993,930.5015565410696,12993.565822157081,-10526.893140532144
0.366,76052.97279989396,692.1358253463703,938.2601571562521,1459.852902611206,10442.387868481848,11176.731344305159
0.366,73425.39112870587,1084.9519287002888,1425.5206907750483,2044.2680248959668,3200.3482566243674,7904.738419373252
0.366,71827.24140015143,1588.409331417719,2012.6279906373813,2612.1853460361394,-6917.281308186831,8544.415842419286
0.366,74192.77121934548,2207.163311709621,2682.5259991131443,3080.7941403917735,-16948.111111952527,8154.974597002993
0.366,75070.30070666084,2943.4670101099464,3411.8825580498847,3367.2893903670174,-23865.017785467902,1987.5889762261459
0.367,72673.2102242959,3797.630962950384,4172.698058231008,3399.1192052353567,-25647.657316500376,-2158.565644045886
0.367,70431.68788333987,4767.738681319664,4932.921522735606,3121.028047811151,-21967.976941064022,-5076.711922560027
0.367,72581.74688598477,5849.598066862709,5657.524587266229,2501.247384300096,-14126.635984932538,-4551.659063678513
0.367,73799.29110995425,7037.456202904878,6310.769332330424,1537.7829920719832,-4347.081510659955,98.45430682097503
0.367,71830.81767926428,8324.542109975306,6858.184458976591,261.4241572715201,5045.01118756799,1330.9425062687833
0.367,68733.04471171436,9702.797412692764,7267.245245527686,-1266.5663037349902,12201.09053449611,-824.5309102409774
0.367,69366.2249286443,11162.614737322074,7507.982076138435,-2959.3171072824966,16110.030618995488,-35.34432419449877
0.367,71502.87288461601,12693.380724784734,7554.6850001836065,-4709.03460665724,16765.17512116836,2589.4931757531776
0.367,70461.2815929987,14284.204187366111,7387.711304303012,-6393.076205864752,14991.073575378854,2105.7045058607264
0.367,67095.2876919851,15923.866100570656,6993.9116153370105,-7883.749121493972,11931.178883224322,-1126.593441477591
0.367,66918.53009683253,17600.410778505677,6366.316907425616,-9059.677019020517,8547.207260231604,-2308.8541481505035
0.367,69096.6628905133,19301.430779651397,5504.677341202504,-9814.715159099036,5443.009226554653,139.318871065052
0.367,68667.9564318605,21014.780334158877,4416.427726112286,-10064.641867199101,2908.0525244510513,1620.5080274986203
0.367,65244.74206504132,22728.633362229117,3116.435133130605,-9754.361694753563,942.5504657960078,-522.4245126965725
0.367,64292.825972178696,24431.01344965141,1625.7538736405445,-8864.583218303638,-689.0942713790803,-1918.582098446279
0.367,66446.46125393645,26109.896542664454,-28.917680315536856,-7414.176042056626,-2238.049245707447,420.88184024432485
0.367,66729.7025596741,27753.900150322326,-1815.0558834321405,-5458.124483947031,-3740.4309025847083,2248.8832083202724
0.367,63596.25620797351,29352.46051803992,-3695.057846956929,-3084.5592616332797,-5034.449954061613,148.56235933713106
0.367,61968.78099069369,30895.34039001934,-5628.106542362989,-411.4450234312448,-5946.242263437501,-2030.6597576733075
0.367,63952.095979702,32372.538998250056,-7571.485408064055,2420.0940463164357,-6362.93280326475,-375.18530100622775
0.367,64871.64674659333,33774.898860277855,-9480.87966356955,5256.113755511872,-6182.6123805464185,1897.7343732369973
0.367,62124.97498094738,35094.37874938652,-11311.209810059698,7939.986707560386,-5357.5097437012,502.64748408445394
0.367,59815.59274382505,36323.5656034163,-13018.598292327959,10320.468054682939,-4020.6467365638805,-1942.221434440571
0.367,61418.92807709314,37455.40199403008,-14561.939822341776,12260.162873747102,-2459.464531963644,-820.0823158945122
0.367,62892.71269949826,38483.688854162196,-15903.210063260447,13645.4348350569,-925.4238914183532,1838.4660958153581
0.367,60747.21345272225,39403.46409320653,-17007.870078740954,14394.333762025508,455.411983049021,1114.2632803204406
0.367,58317.84705136384,40210.59531515311,-17846.339253084287,14460.141057744473,1591.8972578121802,-1577.4397339879824
0.368,60285.60522623125,40901.42962934629,-18395.22274690283,13832.961359269158,2387.4967300203293,-1082.9386178531267
0.368,61752.7737322776,41473.20631374601,-18637.218554727246,12541.350996829764,2835.5842673721127,1562.6789431172074
0.368,60035.71272322092,41924.40527213422,-18560.966384417552,10651.355618632162,3033.737943878581,1039.7241329945346
0.368,57300.66386469172,42254.30667615224,-18161.92247954447,8260.964891522832,3046.1784704390843,-1685.951612480917
0.368,58994.56846649271,42462.55667290778,-17443.034497377528,5492.868906667342,2846.179840657826,-1247.7511104140876
0.368,60996.56951386565,42549.52404139925,-16414.037217754914,2488.304051121992,2433.3640626536967,1587.0575940217159
