Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-750000.0894069779,2.1816898723159284e-06,5.0331152579019545e-09,6.596110324608162e-10,5.939000402577221e-10,-5.820766091346741e-11
0.001,-750000.0894069779,2.181689886526783e-06,5.0331152579019545e-09,6.597247192985378e-10,5.902620614506304e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1816899717919114e-06,5.033086836192524e-09,6.601794666494243e-10,5.657057045027614e-10,-8.731149137020111e-11
0.001,-750000.0894069779,2.1816902560090057e-06,5.032958938500087e-09,6.614584435737925e-10,4.929461283609271e-10,-5.820766091346741e-11
0.001,-750000.0894069779,2.181690973657169e-06,5.032546823713346e-09,6.643290362262633e-10,3.510649548843503e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.181692508429478e-06,5.031481009609706e-09,6.696154741803184e-10,1.4279066817834973e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1816954358655494e-06,5.029122007726983e-09,6.778009264962748e-10,-1.0186340659856796e-10,2.9103830456733704e-11
0.001,-750000.0894069779,2.181700551773247e-06,5.024475058235112e-09,6.885443326609675e-10,-3.346940502524376e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1817088864395373e-06,5.016104864807858e-09,7.002824986557243e-10,-5.06588548887521e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1817217046304904e-06,5.0020929620586685e-09,7.100027232809225e-10,-5.866240826435387e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.181740512696706e-06,4.9800092938312446e-09,7.131859547371278e-10,-5.693436833098531e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1817670727841687e-06,4.946883791490109e-09,7.040625860099681e-10,-4.729372449219227e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.181803402834248e-06,4.899220584775321e-09,6.761240456398809e-10,-3.292370820418e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1818517765836987e-06,4.8330406343666255e-09,6.22804918748443e-10,-1.7007550923153758e-10,-2.9103830456733704e-11
0.001,-750000.0894069779,2.1819147022483776e-06,4.743952786157024e-09,5.383071766118519e-10,-1.9099388737231493e-11,-2.9103830456733704e-11
0.002,-750000.0894069779,2.181994886996108e-06,4.627253247235785e-09,4.184812496532686e-10,1.1004885891452432e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1820951943141154e-06,4.478053483580879e-09,2.616218353068689e-10,2.128217602148652e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.182218601376462e-06,4.291464961170277e-09,6.912159733474255e-11,2.8830982046201825e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1823681493060576e-06,4.062826519657392e-09,-1.5410250853165053e-10,3.3378455555066466e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1825469005420928e-06,3.78797437861067e-09,-3.994671260443283e-10,3.4378899727016687e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1827579104183314e-06,3.463512143753178e-09,-6.549498721142299e-10,3.155946615152061e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1830041987414006e-06,3.0870239697833313e-09,-9.057430361281149e-10,2.53749021794647e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.183288721369081e-06,2.6572593014861923e-09,-1.1352483397786273e-09,1.7007550923153758e-10,-2.9103830456733704e-11
0.002,-750000.0894069779,2.183614341788598e-06,2.174303403990052e-09,-1.326299070569803e-09,7.912603905424476e-11,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1839838098003383e-06,1.6397194713135832e-09,-1.4626095889980206e-09,-4.547473508864641e-12,-2.9103830456733704e-11
0.002,-750000.0894069779,2.1843997259907155e-06,1.0566338914941298e-09,-1.5302248357329518e-09,-7.003109203651547e-11,-2.9103830456733704e-11
