Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-519429.68600150186,-40.54955678141679,-59.80752142063515,-114.06998534076932,-4624.553546637815,-105654.99070586257
0.18,-519364.86594258144,-276.5610156115315,-403.1229629344195,-748.3753824083575,-24929.60472915951,-66815.96848177644
0.18,-519283.14796485286,-955.978663984363,-1369.769060149985,-2443.0383257607327,-60647.44424961001,214484.2867091017
0.18,-519279.39287178434,-2318.938469851667,-3245.750656296433,-5472.253781991167,-87352.21894810323,121952.81196532666
0.18,-519276.6212554719,-4553.648436546246,-6184.49834660154,-9673.257331126355,-75647.0600867145,-67435.56152333878
0.18,-519254.8059528835,-7800.625342877747,-10208.706954444426,-14493.326934891285,-17333.99646140395,-34466.16288763075
0.18,-519226.1957199807,-12156.88645557658,-15218.886506860332,-19095.67322967471,67702.11764506096,-80989.61335531468
0.18,-519197.1384521888,-17680.080119039954,-21007.69802450605,-22505.569642771214,143407.80097557826,-28434.857140495835
0.18,-519195.3503126324,-24392.54471816389,-27278.98033251308,-23774.49087336409,177578.9796934108,19527.474960264168
0.18,-519148.6798702097,-32285.27115619162,-33670.234761907224,-22139.255389390917,157435.82365892112,7046.406984035173
0.18,-519083.2339624446,-41321.73682182903,-39777.2644973024,-17155.148358616683,93369.39923161962,30835.13175499918
0.18,-519008.4003220082,-51441.594291407535,-45179.68543587223,-8786.353830415623,11171.641382627811,1946.276704091535
0.18,-518970.491763412,-62564.2142144427,-49466.098080709766,2556.9668270099423,-61247.81613471826,-2483.8331744822353
0.18,-518994.4528334681,-74592.07785873409,-52257.79727928184,16038.788562689972,-105307.41390334892,-3528.3249300568423
0.181,-518949.3023096684,-87413.99449842384,-53229.99864397296,30471.51713901814,-116585.88018237965,-10099.828900557244
0.181,-518834.23552921246,-100908.10427232334,-52129.70434310887,44435.26406316873,-102513.27952484641,1436.1831000181264
0.181,-518836.2024827245,-114944.66983959088,-48789.585003872606,56427.86183117484,-75832.10561497662,-901.9051201994298
0.181,-518845.0537735288,-129388.69276500089,-43137.50473351969,65028.1745661198,-47908.18564482407,2244.093393203715
0.181,-518784.97228443297,-144102.3334220439,-35201.434390277114,69054.36693162206,-24896.962423254212,2601.2621670936205
0.181,-518773.5281912718,-158947.0986285862,-25109.679491061466,67699.7990582911,-7587.6636335129615,-640.5706277243735
0.181,-518769.4154702921,-173785.81834849514,-13086.628337954937,60631.83520108461,6202.438407077397,736.0963200062106
0.181,-518798.2939241284,-188484.42923253463,555.606469388708,48043.127827763295,18682.6804103243,-1244.687255788187
0.181,-518803.8371567532,-202913.55256290387,15429.176620172753,30650.24077471179,30256.896929726427,-412.23593484632147
