Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-520213.785196994,-40.61076790528348,-59.89780318676078,-114.24217839431621,-4631.5344890312745,-105814.48099963057
0.18,-520139.1303705133,-276.9777350404013,-403.730371518145,-749.5029456971513,-24967.15024231278,-66914.84922427505
0.18,-520056.6971369621,-957.4165201922032,-1371.8291545159768,-2446.7120277266454,-60738.52131563812,214809.43216842492
0.18,-520076.5454860384,-2322.422604070242,-3250.6268234164354,-5480.47289474461,-87483.12535417188,122128.15824772483
0.18,-520110.34132365487,-4560.493208499541,-6193.794211699872,-9687.796162693898,-75761.00419561961,-67550.36523567354
0.18,-520063.0450323874,-7812.373616172495,-10224.08546550718,-14515.175736395524,-17362.930245308766,-34506.848045601204
0.18,-520025.3152877469,-12175.24477308643,-15241.884752873066,-19124.59824122289,67797.78926252757,-81085.38408549741
0.18,-519984.9033337717,-17706.849796399485,-21039.547204803483,-22539.857909706556,143616.9490550018,-28477.736671449573
0.18,-519952.9850426895,-24429.557419438635,-27320.452128292363,-23810.941921406225,177844.3111862561,19549.127721159268
0.18,-519891.5624489263,-32334.329818257815,-33721.52193260298,-22173.423265951016,157679.97197278947,7053.964796292275
0.18,-519843.729715792,-41384.56606318044,-39837.90633661553,-17181.812981244195,93526.61329718582,30860.584412460303
0.18,-519800.9037734156,-51519.80894595046,-45248.552843274694,-8800.182425608846,11209.024597515509,1931.6032440748386
0.18,-519756.4685054384,-62659.3019804739,-49541.43103072102,2560.6699774862354,-61325.45159962421,-2477.4420104188466
0.18,-519765.5880171762,-74705.38125496636,-52337.26928027928,16063.38596131738,-105465.73366331082,-3505.222399687511
0.181,-519718.2917259088,-87546.68757952997,-53310.79754887787,30518.495702298213,-116776.61230749011,-10102.2326985564
0.181,-519652.93522512144,-101061.17641129468,-52208.643559724944,44503.876906070596,-102691.9325398325,1417.5668499455787
0.181,-519650.4318297425,-115118.92404714684,-48863.2503947225,56514.97952291362,-75971.01745119659,-918.6420011572336
0.181,-519636.3949342245,-129584.74516372685,-43202.409998626295,65128.40923009953,-47998.661954425785,2266.9688209230226
0.181,-519569.3397008586,-144320.60314658505,-35254.16215875963,69160.49027969109,-24942.140374851464,2618.0697618160048
