Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-26245.95478128848,-2.048904524265634,-3.021978806930172,-5.76377468951094,-233.67132557062288,-5338.578412469683
0.48,-26257.48828142742,-13.975343716526131,-20.370866387767734,-37.81746829246333,-1259.7850680276447,-3379.116661139115
0.481,-26259.455234939487,-48.3124400735158,-69.22444409833028,-123.46551082402979,-3065.1837941802546,10834.404172729615
0.481,-26245.95478128848,-117.20173015161474,-164.04486329206895,-276.57978171774,-4415.671725007624,6170.118691509256
0.481,-26243.540792887303,-230.1586751974813,-312.5908778327073,-488.939306723135,-3824.868885696429,-3399.242282654768
0.481,-26244.43486266552,-394.28467415998176,-516.0074967141269,-732.5993216933732,-877.3962037558526,-1747.6192608201386
0.481,-26249.173432490046,-614.4819101673705,-769.2628537729141,-965.2540516120857,3421.8506688475645,-4099.6285621742845
0.481,-26252.66030462507,-893.664987751601,-1061.8772262408638,-1137.6327373640702,7249.641231608585,-1439.2684456469042
0.481,-26246.401816177586,-1232.9658593780912,-1378.8842982468327,-1201.7951725955045,8977.201198413495,989.7475595537353
0.481,-26245.686560355018,-1631.931759816304,-1701.9639325027663,-1119.1677173645762,7958.441128501863,362.19160423396715
0.481,-26244.07723475424,-2088.718114549975,-2010.686156143155,-867.2691850246542,4719.234743560173,1556.6893707397367
0.481,-26251.85564182468,-2600.276876691056,-2283.8034407950336,-444.2877565262928,563.8102333575009,94.22377585540289
0.481,-26249.97809529044,-3162.5374619507256,-2500.5256930438313,129.0396687023121,-3097.0915792266082,-126.36392869934116
0.481,-26256.05776978228,-3770.5776941078907,-2641.7175622036652,810.4472324872526,-5324.391380278293,-175.81329230327265
0.481,-26256.325990715744,-4418.78496862636,-2690.9687668705537,1539.9015310107902,-5894.539396793881,-508.43554001982466
0.481,-26253.554374403284,-5101.007495058131,-2635.4960047623717,2245.63314193358,-5182.898939353102,72.22445189987229
0.482,-26252.213269735967,-5810.6948132152465,-2466.84352880422,2851.7210296953385,-3833.418831854932,-44.369567846608334
0.482,-26254.53785115932,-6541.029089202401,-2181.363132338343,3286.348670407124,-2420.6270465701205,113.06805032327793
0.482,-26267.5018629434,-7285.048375794381,-1780.464073018379,3489.7983636186577,-1256.093265125009,126.52744875613826
0.482,-26272.86628161267,-8035.76006388866,-1270.6290979805617,3421.308946790233,-380.6099848537929,-35.97580157091579
0.482,-26266.33957223172,-8786.24046270576,-663.1990578081494,3064.070057169783,315.62089290222184,44.1852527919491
0.482,-26266.87601409865,-9529.720666526913,26.05596298617987,2427.826518330476,944.967365312081,-55.680068866711736
0.482,-26268.21711876597,-10259.664214843488,777.5453594936998,1548.8127797438472,1529.163826295236,-23.984327989474878
0.482,-26269.737037388928,-10969.837516888223,1568.6138838241461,487.0342867332913,1992.6175195465785,0.2708506023245718
0.482,-26265.892537342614,-11654.36968012655,2374.4141170892185,-678.8031481826807,2221.568856683139,-13.37324711409292
0.482,-26266.42897920954,-12307.801587010326,3168.8571394489063,-1858.1936042035363,2139.7701001523815,26.093101433315496
0.482,-26267.412455965576,-12925.126624638082,3925.5978871158645,-2956.8752504747663,1755.4278560769526,-2.2578632350350745
0.482,-26266.518386187363,-13501.823495284345,4619.015161902988,-3885.2298162783623,1160.4595723392476,4.053290587401534
0.482,-26268.57474667725,-14033.880366451385,5225.14998560657,-4566.229716526693,491.70801754570493,2.369502829045814
0.482,-26264.10439778619,-14517.810795047286,5722.5674730401915,-4942.193084557232,-120.13035824390175,-7.594799261351
0.482,-26260.3493047177,-14950.66179293791,6093.111918163339,-4979.740563478525,-588.4272844905292,4.507762388366245
0.482,-26274.833235124737,-15330.01662829422,6322.526845229703,-4672.541199280074,-882.6928088344501,-7.198413829472884
0.482,-26283.5057119734,-15653.994649797147,6400.918506776644,-4041.6524311299963,-1017.0432450921293,-5.568699543165167
0.482,-26278.498921215407,-15921.243370397073,6323.058513258892,-3133.467539197026,-1026.4351913392761,7.287337631745686
0.482,-26285.740886418927,-16130.921200005443,6088.522852943537,-2015.5136218686814,-945.0019544661457,5.767876148333926
0.482,-26292.44640975552,-16282.677586122758,5701.658292295183,-770.5555249795528,-796.4746642277067,-1.7883977703759228
0.482,-26286.00910735239,-16376.630973161247,5171.383102162617,510.4218458590649,-596.4172125028749,0.12680680563607893
0.482,-26267.5018629434,-16413.33953030254,4510.842886781077,1735.7181637933816,-359.4873564251624,6.867306558855489
0.482,-26263.746769874902,-16393.768108513857,3736.934114740998,2820.2320348524063,-105.75742001772556,-0.7272604150457482
0.482,-26278.409514237585,-16319.25962466885,2869.7050615727862,3691.9412166423217,137.32530450398068,-12.955585606493514
0.482,-26291.1053050882,-16191.510049581453,1931.66111543673,4297.036105060676,339.0478597621475,-10.101497695372018
0.483,-26283.41630499557,-16012.53757536203,947.0164740494746,4603.362204948565,474.29721693477245,7.101577896592971
0.483,-26273.49213045742,-15784.642948905008,-59.075047855215004,4601.97188084171,531.8250546700323,14.958265332034898
0.483,-26283.05867708429,-15510.370180677986,-1061.2963042941578,4306.723495180206,516.1933749266711,0.9348554336665984
0.483,-26294.502770245406,-15192.474436994145,-2034.9334861166658,3752.0462269370214,443.05693847132864,-10.442622157386722
0.483,-26295.3074330458,-14833.89112219746,-2956.598662879355,2989.179088792854,332.6002718197195,-2.514436100731473
0.483,-26292.982851622448,-14437.700076644247,-3804.876488816347,2081.3058531847455,204.86920843152944,5.376671936020102
0.483,-26298.794305180825,-14007.089195463906,-4560.882760900777,1098.0452803639898,76.99817760289059,1.4297709589181977
0.483,-26300.135409848142,-13545.322120027042,-5208.726837249979,109.78069633036945,-38.24160659857026,-1.6676811037013977
0.483,-26304.60575873921,-13055.708189290875,-5735.864130644468,-817.6860809948307,-132.3639409203258,-0.19432812779450614
0.483,-26307.82440994077,-12541.573190318966,-6133.329740517815,-1627.7331597753591,-200.1681733417363,-0.722053525732008
0.483,-26313.09942163222,-12006.231861335013,-6395.852303233414,-2276.446942338417,-238.94521295607888,-0.570215705355622
0.483,-26314.798154210825,-11452.962155281695,-6521.849887561989,-2734.870397580381,-248.25828439833225,0.9909290506611796
0.483,-26309.25492158591,-10884.98031714685,-6513.312250340453,-2989.883795636082,-230.01610397408197,2.7614436709372967
0.483,-26296.82735166876,-10305.416348830626,-6375.578140390101,-3043.7559973523357,-188.49074133397812,4.35679491564315
0.483,-26296.55913073529,-9717.292405933493,-6117.023825901906,-2912.523914808821,-130.32169092504006,-1.5527893876496819
0.483,-26305.142200606133,-9123.50779683403,-5748.682872189923,-2623.4480641914633,-64.4037987694694,-9.395075901592463
0.483,-26303.711688961,-8526.828080049423,-5283.8093179837715,-2211.8317518167814,-0.6586614760061025,-3.860488127173994
0.483,-26298.52608424736,-7929.872403711317,-4737.392507482425,-1717.5109969902576,52.560150547878266,6.306662745187168
0.483,-26310.68543323105,-7335.101333700779,-4125.6448107487895,-1181.3468675665708,90.39619261268933,1.6970563386303184
0.483,-26310.0595843863,-6744.80955294093,-3465.486490011761,-642.0276963025764,111.43366315850727,-2.449577555495125
0.483,-26306.125677362168,-6161.1194192680205,-2774.038420277577,-133.4082904151013,116.91853642138705,5.068591058613492
0.483,-26309.433735541552,-5585.974001009888,-2068.1362209431295,317.4485107843057,109.84793234613508,1.430852711656371
0.483,-26307.198561096026,-5021.133637493728,-1363.8858751077742,691.4252383933759,93.64018375646515,-3.8533895025429956
0.483,-26316.139258878145,-4468.175840463534,-676.27226119609,977.6896798486671,71.17317231729692,-1.4444196777676552
0.484,-26314.97696816647,-3928.496709202439,-18.827097951457066,1173.2918216017724,44.74595950668578,-2.1874604088470733
0.484,-26317.480363545463,-3403.3126661614615,596.6387127174079,1282.1466083643556,16.672718074247598,2.4450497524003367
0.484,-26313.90408443261,-2893.6623603113994,1160.2342829429654,1313.5704053082197,-10.229675313541435,3.30456038885859
0.484,-26315.245189099933,-2400.410186289081,1664.1155324130868,1280.5570417436695,-32.90016927267649,-0.326615022065198
0.484,-26326.152840394123,-1924.2528433467396,2102.538237770108,1197.9829639642383,-48.948633920533894,-3.044867604965475
0.484,-26329.55030555133,-1465.7283211506942,2471.841502165065,1080.922435710038,-57.427657748468874,-3.95804682015023
0.484,-26326.0634334163,-1025.2233379768265,2770.3728751794674,943.2324172343937,-58.57816004276279,4.743324499537266
0.484,-26321.235456613955,-602.9784400651566,2998.363000634619,796.5129835851845,-53.066128901306,5.5569162989240795
0.484,-26326.95750319452,-199.09528760237683,3157.750906465998,649.4840366288133,-41.95367007215566,-2.5011016904682037
0.484,-26331.60666604121,186.45203176030483,3251.9663220207854,507.779802798691,-27.20372215359754,-4.97193414719186
0.484,-26329.460898573507,553.8055560809572,3285.6848417137544,374.1364044208567,-11.470954212119977,-0.581842889921063
0.484,-26334.9147242206,903.2140293660945,3264.569235888423,248.9050706540631,2.8411390391864586,2.2604178161336677
0.484,-26333.484212575466,1235.0232308742407,3195.0032366424784,130.7835493352745,14.189767332863909,0.006847390569419076
0.484,-26335.54057306535,1549.6658091364097,3083.826744415863,17.651607665769493,21.95915516533205,1.5800689727893769
0.484,-26347.968142982503,1847.6504255738455,2938.080750009989,-92.60311326931723,26.12712480054759,-2.126465615348934
0.484,-26348.415177871608,2129.549953444969,2764.7692263172576,-201.37065939889044,26.832609645444848,-2.8372006007248274
0.484,-26351.455015117528,2395.9918538122556,2570.649097376871,-308.78616896787406,24.49478594082379,4.830540146632302
0.484,-26359.680457077084,2647.649883558527,2362.0518929103164,-413.43466282352335,19.965717678837308,0.017688524377263093
0.484,-26357.087654720268,2885.234896629292,2144.737151629904,-512.3217385239824,14.236950770492683,-0.9199505468277493
0.484,-26361.915631522614,3109.486597980015,1923.7824190864771,-601.0946542404981,8.242843778235823,2.8433169093650577
0.484,-26368.26352694792,3321.1653509928665,1703.5090758967497,-674.4787809230696,2.663484346377629,-3.591105981772671
0.484,-26372.018620016413,3521.0430815826294,1487.4418713662158,-726.8720402258035,-2.272098452469095,-1.7688877504806442
0.484,-26368.442340903563,3709.8961651500963,1278.3046310373106,-753.0138898811797,-6.466957998933424,3.6465116988010777
0.484,-26367.816492058813,3888.5005190448733,1078.0493726210043,-748.6488782971201,-9.538754791815677,1.9335034261957844
0.484,-26372.823282816804,4057.6256970397862,887.9099883515178,-711.1184461349217,-11.053373293089805,-1.8585980472716983
0.484,-26377.383038685686,4218.027234722299,708.4748573073787,-639.8169313963323,-11.069988201228682,-3.9066804474587116
0.484,-26380.51228290943,4370.439920228337,539.7775639474721,-536.4538280980262,-10.13684474697834,-0.1339425451351417
0.484,-26385.51907366742,4515.573079724452,381.40217018824035,-405.09117107389216,-8.798156628979655,1.533631647202128
0.484,-26386.68136437909,4654.106835473487,232.59613487465023,-251.95531937420543,-7.244993129269659,1.178993978989638
0.484,-26389.721201625016,4786.689078235755,92.38529506654749,-85.04281677799206,-5.316399126060389,1.9004558546630506
0.484,-26393.565701671327,4913.932740341461,-40.31456669365055,86.43981963277729,-2.8001835686225434,-0.8069190406049529
0.485,-26396.69494589507,5036.413041680268,-166.59438342949215,252.74795779695944,0.21193971752839502,-1.3498311829762315
0.485,-26411.80472514686,5154.664479557254,-287.4606801321237,404.3193677714749,3.1608098287849202,-2.3673643975826053
0.485,-26422.444155507583,5269.177266851356,-403.75996628024956,532.4778083218605,5.1292497786550655,-3.3228684581708876
0.485,-26438.00096964848,5380.394917871292,-516.1181407627272,630.0636490849292,5.372044979966859,1.7153261408393519
0.485,-26451.32260934384,5488.7138323754,-624.8949931130591,691.9411897555544,3.9044637220742686,2.5029804363566655
0.485,-26457.938725702614,5594.484490189897,-730.1550836246863,715.3412050887474,1.637039578155992,3.291104336918579
0.485,-26467.505272329483,5698.014140801144,-831.6551966435098,700.0140171010744,-0.0103409305631601,3.71162599611489
0.485,-26466.879423484734,5799.569872369898,-928.8493938048854,648.1830918805131,0.127355822299819,-0.3477569503147606
0.485,-26471.52858633144,5899.381569516835,-1020.9110677695488,564.3090050566564,2.3044434569894747,-0.358734258660661
0.485,-26483.1514934482,5997.6433709424755,-1106.7720952419245,454.687337105501,5.570610681884915,-5.001450457892133
0.485,-26499.512970389485,6094.512487073454,-1185.1781627466783,326.9185234003871,7.967061779436506,-6.962278988204162
0.485,-26498.440086655628,6190.10932690831,-1254.751233201709,189.3117173652544,7.681062062103962,3.308465745833928
0.485,-26497.27779594395,6284.5223358270805,-1314.0509997500517,50.28447433599715,4.5788079036667,8.764412760017876
0.485,-26510.24180772803,6377.812697434013,-1361.6397876280141,-82.20823144086772,0.2642531313542804,-0.05153333986072539
0.485,-26527.05031955842,6470.013813799628,-1396.1555424149567,-201.18727762252112,-3.562927053315491,-8.291388238677428
0.485,-26532.50414520552,6561.130212042829,-1416.3827030676919,-301.05434028572404,-6.222261176039524,-1.0874028218040621
0.485,-26530.80541262692,6651.14163632682,-1421.3095282824938,-377.84751361472485,-7.542255222825389,7.107139225689025
0.485,-26536.52745920747,6740.009154590181,-1410.174629255908,-429.3490280354842,-7.233875618223294,3.0088360352647214
0.485,-26549.04443610245,6827.677467784002,-1382.5098002529264,-455.06687420482496,-5.3168039033915875,-4.7052371504987605
0.485,-26556.465215261607,6914.074508247435,-1338.1759590918348,-456.1004242086087,-2.6191790890509026,-4.112670112003798
0.485,-26558.521575751496,6999.113271146517,-1277.3836233905024,-434.8972461999555,-0.24641260008723975,2.509620549409192
0.485,-26566.92583166669,7082.695671906298,-1200.6978309501737,-394.9317272993755,1.246454336537198,2.1768734489623967
0.485,-26583.01908767451,7164.714211315571,-1109.0339772646857,-340.3517088723709,1.8310598623362182,-3.2782642361671606
0.485,-26591.60215754535,7245.051792613179,-1003.6444236076578,-275.62425470745666,1.5809235344190142,-1.5295890441593656
0.961,-26595.35725061384,7323.583975842566,-886.0902029784132,-205.1968269925952,0.7900464660291959,4.512407966403771
0.961,-26601.25811115004,7400.183408496848,-758.1996023216161,-133.2001329054573,0.17459647408637124,3.104436707854802
0.961,-26616.36789040183,7474.722102780941,-622.0218680309049,-63.224438629333335,0.3468426161040554,-3.2725375153604546
0.961,-26629.331902185902,7547.070887635753,-479.77875570673547,1.8194317955582697,1.1277207384724761,-4.378393335959117
0.961,-26641.67006512524,7617.099457655998,-333.8104998362533,59.76441198168867,1.7176268298230752,0.11792935479934386
0.961,-26649.537879173506,7684.678636208753,-186.515716207367,109.18767126932738,1.531592403945126,3.1957995059701716
0.961,-26660.71375140116,7749.683230412083,-40.28978962568475,149.35313719670768,0.705908936054243,2.277793707354249
0.961,-26660.08790255641,7811.9946487545085,102.53495305253031,180.1083920975482,-0.05040581734061789,1.9296435997239314
0.961,-26659.730274645124,7871.504206533344,239.74676583526883,201.755849852309,0.1248430219995953,2.5076458755829663
0.961,-26671.35318176189,7928.11505991406,369.30489293871705,214.90954555078235,1.5799244534427999,-3.952878523300569
0.961,-26683.69134470121,7981.740246430558,489.3778171686157,220.3474118459445,3.4931052829773535,-8.172201137239426
0.961,-26693.883740172834,8032.300173574385,598.3736375084806,218.88498247909644,4.256847025116485,-0.7150099084683461
0.961,-26705.14901937831,8079.722648928783,694.9666802400027,211.29066409374653,2.7836909348971517,3.387868523972429
0.961,-26714.71556600518,8123.943905324717,778.1175412185486,198.24224250723424,-0.634485023785345,2.8424607281303906
0.961,-26741.180031440264,8164.908091343916,847.0825619169823,180.31618610626208,-4.673554188178343,-0.6861298768199049
