Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-342117.94640039763,9.95193559560903e-07,2.2958914769333205e-09,3.00886426884972e-10,2.710294211283326e-10,-2.9103830456733704e-11
0.0,-374451.8011154892,-2.5241586996912915,-3.722944143177834,-7.100715327991637,-287.87273143756374,-6576.892333022799
0.0,-374538.07884908665,-17.222630055302808,-25.104303902776266,-46.60527403031251,-1552.6410890215338,-4177.581419983631
0.0,-374586.7162450214,-59.5607672654983,-85.34270545026925,-152.21803033372282,-3780.041200618667,13328.833904466053
0.0,-374562.93398892094,-144.54403591785044,-202.32111376895784,-341.13804323968867,-5450.481687428972,7626.577155442079
0.001,-374489.4414531519,-283.94281337686533,-385.65670184081534,-603.3024818673484,-4728.615779065508,-4136.448888217958
0.001,-374423.1014756085,-486.5234917224065,-636.7640091410433,-904.2090845324066,-1094.3648456205742,-2131.6490950631705
0.001,-374431.05869663466,-758.3046803966026,-949.3819371314621,-1191.5184695337023,4219.082732554525,-5083.8860182628705
0.001,-374431.05869663466,-1102.8359203471873,-1310.5034980359,-1404.2615311361749,8959.797534600913,-1830.295602928294
0.001,-374464.2286854063,-1521.472610402069,-1701.5991846838874,-1483.1702351195727,11106.883550882621,1195.0695552330872
0.001,-374492.4812903978,-2013.6337337749694,-2100.03752571592,-1380.6478859201156,9851.020560686713,448.4628483552078
0.001,-374481.2160111924,-2577.0416416720095,-2480.6229364955475,-1069.067444635012,5836.952917850526,1950.0859894965542
0.001,-374453.2316271343,-3207.940798663861,-2817.168273607959,-546.3567094834425,681.9142817579427,165.97525312578364
0.001,-374449.4765340658,-3901.3061818415686,-3084.0439946742235,161.7516749072871,-3858.049910576454,-148.9313265288365
0.001,-341863.40473454056,-4648.510125502911,-3253.9021571194376,1010.1539172089318,-6322.02091956251,6385.595767331906
0.002,-374441.96634792886,-5435.440486458098,-3296.227874579143,1943.0230013687267,-6029.133163146101,-3081.5606395148643
0.002,-374435.1714176145,-6248.657670479986,-3187.9805143131903,2880.1658199351446,-4160.95454961605,-17566.56785154812
0.002,-374446.70491775335,-7080.558404762977,-2922.125204885694,3711.213406159455,-3039.5298791916093,5744.019388279165
0.002,-374468.52022034174,-7925.986170756868,-2502.5136506779936,4320.147485087534,-3695.41820061166,12019.390419125222
0.002,-374464.2286854063,-8779.351370645196,-1939.136924842342,4608.841001242303,-5186.152652428344,-1895.2879208006052
0.002,-342049.5500623644,-9632.235600387528,-1243.977211086068,4516.358572843342,-5506.554989370747,9488.577566690306
0.002,-374430.70106872334,-10471.434333947554,-427.6015121645792,4031.6539578885763,-3095.9296134399397,-5664.696313953726
0.002,-342044.36445765075,-11282.474758277307,495.91811750216976,3184.0381794614927,1532.1015999051333,-14053.806983145718
0.002,-374460.9206272269,-12052.611655610795,1505.1002869475135,2031.6471067188265,6080.045491504081,4083.408258208554
0.002,-341826.9266875895,-12770.776790537231,2572.0877462923304,656.8943225831841,8269.679283556086,-587.009180668203
0.002,-374460.9206272269,-13427.512478407567,3663.97220982103,-839.9278753271931,7208.316225205725,3085.2407674977003
0.002,-374497.75630208926,-14017.482967925196,4740.513977028556,-2355.68605429516,3396.878635809835,-2649.139117640647
0.002,-342003.6842827421,-14538.985109864832,5756.713820901144,-3789.876117242433,-1465.965091003643,7147.6312345049955
0.002,-374506.2499649823,-14988.361505446726,6673.079577886284,-5035.200679840285,-4773.2865438721965,9810.195809173412
0.002,-342032.3839226227,-15360.423682304863,7456.466945430447,-5988.1615499373265,-4898.326550352058,-16275.36073822833
0.002,-374528.06526757067,-15651.390898262418,8076.873352652591,-6567.227993248104,-2373.593926157618,1935.2920526047237
0.002,-374554.2615120723,-15861.3366250031,8504.929915980298,-6726.947285700783,644.7507280733739,-6670.856868300965
0.002,-374608.889175521,-15996.179324619017,8710.177255322067,-6466.325170861016,1858.841240260408,-535.3428487691417
0.003,-374655.0231760768,-16064.179762753001,8667.641897033067,-5816.387927352686,756.2968758842007,17604.884982656746
0.003,-374632.0455827768,-16072.947346694658,8363.297649736553,-4827.485704776485,-1261.5402952107333,-6215.7367374597525
0.003,-374632.0455827768,-16029.455618382002,7794.468048302836,-3565.3210703520813,-2366.146463458561,1226.4121540144843
0.003,-374592.8853264911,-15940.059875903997,6969.729186289755,-2106.7793106212953,-1589.9906125223233,-1724.065381995446
0.003,-374608.5315476098,-15810.526755353085,5908.32863350013,-535.7350599049122,720.0761902048444,-5388.420149626225
0.003,-374617.8298733032,-15646.074065257617,4639.170988616751,1061.0701152858426,3306.4370239391856,3117.1263317677804
0.003,-374565.1691633665,-15451.407608096906,3199.4519938091676,2598.0443187453216,4831.833923969025,-1977.767716286835
0.003,-374539.1517328205,-15230.743679256155,1633.029805548913,3994.616543532112,4596.84442675445,1970.3906388479954
0.003,-374580.5471635517,-14987.838806416561,-11.421099030657878,5178.813253997625,2792.2008940781457,787.8976214484137
