Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,604212.8925577274,-1.7576066539959356e-06,-4.054754754179157e-09,-5.314007012202637e-10,-4.793037078343332e-10,4.3655745685100555e-11
0.001,604072.6130095259,-0.010952755707783979,-0.01615189585072585,-0.030806260624444803,-1.248928006789356,-28.533668292089715
0.001,603918.8330076734,-0.08669737068979089,-0.1265775882847322,-0.2358845547881856,-8.101882912089422,-49.32792403337953
0.001,603762.9072383532,-0.3522400852243308,-0.507244584871799,-0.9156152431411897,-25.148707104213827,6.416526255372446
0.001,603614.9386900591,-1.0039163616918714,-1.4202224486222974,-2.458435242410957,-50.35108268464501,46.272307746854494
0.001,603454.900199759,-2.294745173415393,-3.1758437608320094,-5.2146475739248785,-73.03301479202946,30.697963031954714
0.001,603288.2455931003,-4.521915175581512,-6.09651484067119,-9.3848158138928,-79.75743350882203,13.96030032892304
0.001,603121.859207375,-8.01729832892346,-10.485344239684991,-14.941926345767627,-62.627798066209834,-6.77366215485381
0.001,602963.2512287202,-13.136623190212156,-16.594574974683653,-21.58548360575392,-23.772087388705586,-8.490322844168986
0.001,602809.9182617568,-20.245988468622244,-24.593398764081442,-28.730643644397276,26.04437674574274,-1.8133383496751776
0.001,602650.8632482127,-29.70910830042915,-34.54170705571477,-35.54451295443593,72.53111626138343,-3.6972821260860655
0.001,602489.3048392899,-41.87855945701408,-46.37566855584332,-41.03423871492231,103.40425362046335,-2.2100929878943134
0.001,602335.703651393,-57.089413900463256,-59.903049854291055,-44.16985567351546,112.29238678211368,0.5987265433650464
0.001,602195.3346962136,-75.65103306276359,-74.80192998729157,-44.01347394051112,100.21000484257274,7.4284585495479405
0.001,602053.7140433448,-97.83743066503942,-90.62334277840183,-39.840323448678845,74.09855778932706,5.955056396327564
0.002,601910.8416927864,-123.88077497001838,-106.80437528525614,-31.2502846108099,42.950060321478304,-3.306395332911052
0.002,601774.04901672,-153.96873931793942,-122.69189688494434,-18.25731649578205,13.87842467126029,-4.281322810988058
0.002,601648.5216198589,-188.24176605611672,-137.56974182909616,-1.333042724865777,-9.492658096502964,0.5893573592329631
0.002,601526.2128741995,-226.78903608958385,-150.68626617035514,18.60507904906126,-26.33065129604256,2.6203426007705275
0.002,601411.0566867657,-269.64556459015466,-161.28467693123025,40.25335436472864,-37.17356389406814,0.9550148561538663
0.002,601304.483569203,-316.7909997895559,-168.63564589297414,62.022140765029405,-42.80044483428992,0.7913133215915877
0.002,601206.7617424442,-368.1488300181188,-172.06887450788798,82.1709848102397,-43.638794254528875,1.3921950733783888
0.002,601098.4004853249,-423.587469656219,-171.0045065729956,98.96092423058789,-39.9895668852605,-3.5640656197210774
0.002,600991.6485538064,-482.9255768900236,-164.98656017142096,110.80261570898327,-32.832039571115274,-7.803690301865572
0.002,600887.6682386004,-545.939032709291,-153.7130923946458,116.39450785700473,-24.01133849501366,-2.279498011135729
0.002,600801.4799119807,-612.364864229143,-137.05491221203133,114.85171181984558,-15.249823813907824,6.127761133815511
0.002,600721.4606668307,-681.9015352188286,-115.06153224303121,105.81328413082952,-7.045499656149332,8.749771253525978
0.002,600635.272340211,-754.2101452788887,-87.96124017595875,89.50222385466887,1.1078196418657171,0.844026072503766
0.002,600543.6301879443,-828.9207212174002,-56.16167807160841,66.71951478895184,9.26752406173091,-9.109134397818707
0.003,600472.1046056872,-905.6399597758186,-20.2454718172619,38.78423763893727,16.302216378451703,-3.271342154504964
0.003,600393.6052791602,-983.9553750075629,19.04631765593149,7.440207875633064,20.76551998915511,3.9447692225076025
