Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,-134705.55957622046,3.918476263464754e-07,9.039844428571087e-10,1.184687903332815e-10,1.0686562745831907e-10,-1.0913936421275139e-11
0.0,-134876.6845317703,-0.013358569507088802,-0.019703454097669493,-0.03758010301593018,-1.5235488871314828,-34.8078018554188
0.0,-135010.52677756868,-0.10156215376629874,-0.14822111804597604,-0.2759478844032408,-9.404808815854722,-49.24099989934257
0.0,-135143.65376754449,-0.39661396185469755,-0.5704906224519881,-1.0269644435456868,-27.59047641415077,26.354380592929374
0.0,-135316.7456766064,-1.09475638310718,-1.5455986352832483,-2.6623117064263084,-52.340430625702766,43.106410074982705
0.0,-135490.7316554465,-2.448667319833733,-3.3795222920558015,-5.511103460351386,-72.84091940298094,6.532268438873871
0.0,-135624.48449426706,-4.759699215430164,-6.396226926165577,-9.765093580900892,-77.35923303760933,24.41795432193976
0.0,-135749.74367019458,-8.357081082598905,-10.889360711028546,-15.368939602479852,-58.52975762736696,16.95250922930063
0.001,-135918.90167223237,-13.578478340021245,-17.0787553667612,-21.9560749220938,-17.376134888583465,-15.981022950691113
0.001,-136098.25206974175,-20.76702852827792,-25.096070577370917,-28.882184795485557,34.842004261588954,-30.837872359326866
0.001,-136239.157466788,-30.271427034783976,-34.97958111507745,-35.30884162415292,80.96962274874022,-8.311297584958083
0.001,-136365.66834040504,-42.432181157453925,-46.65305132385893,-40.27671837020356,107.326728114645,25.14277226118429
0.001,-136525.6174237272,-57.56516207611364,-59.9065244187805,-42.794555521237626,109.82021596566506,7.726418780301174
0.001,-136704.34197239185,-75.95973868067765,-74.4054216478078,-41.98331958646894,92.3420677059919,-16.489236185272603
0.001,-136851.86348579687,-97.88304270691977,-89.71422408193469,-37.22936955266951,62.254586755939044,-4.307251118996646
0.001,-136971.75824305514,-123.57244857346926,-105.30668833242395,-28.274183890430642,28.159545277215784,17.622496496340318
0.002,-137125.44883792984,-153.22223111503948,-120.57131832156222,-15.249842887762817,-1.6736609706749732,8.029112518073816
0.002,-137304.2627935723,-186.98346857173155,-134.84025041576635,1.287616496487587,-22.664276751086845,-20.804406232124165
0.002,-137461.79788849328,-224.9734610822515,-147.43413672061146,20.345953497204402,-35.63053683072371,-12.370825594378402
0.002,-137586.78884348736,-267.2750045978952,-157.6914895006301,40.567713371468386,-43.575096400040366,16.99024555910364
0.002,-137731.00229871302,-313.9260429455788,-164.98243075176572,60.37334130668053,-47.50747868806593,14.637767468302627
0.002,-137907.044638043,-364.9184598286649,-168.73456563387626,78.104199162583,-46.64322186041181,-11.88445582388158
0.002,-138066.90431438736,-420.2082035419451,-168.4728706901136,92.14662367002703,-41.146713638753,-14.989548176727112
0.002,-138189.39187400244,-479.7184248375753,-163.8443956832358,101.08088080468772,-32.25320369925612,11.979111976830609
0.002,-138325.02225935727,-543.3313609245936,-154.62085751159015,103.85049076660972,-20.46247762470648,16.13423617692024
0.002,-138499.9917149534,-610.8874075300786,-140.7070317368641,99.87782461820024,-6.223098597794888,-12.440243416291196
0.002,-138665.9310657896,-682.1976500897031,-122.163780225331,89.0979724631629,7.860332827037837,-19.02183763854191
0.002,-138792.7101603401,-757.0513630539365,-99.21692006447515,71.96540218878307,18.095984743033114,9.400402543840755
0.003,-138917.34348742288,-835.2093380748452,-72.23837097903893,49.4581997962923,23.245091271076944,21.528748258522683
0.003,-139081.40529172483,-916.4000068654024,-41.726298627813236,23.025572924850277,24.939751692538948,-4.1662974648570525
0.003,-139246.09294487155,-1000.3299540719647,-8.302312345585921,-5.550162427520814,24.51078711367768,-20.673090225056512
0.003,-139373.14026035552,-1086.6938728281502,27.29686746707691,-34.316671508366305,21.688676610927814,1.7685647125472315
0.003,-139491.33628503518,-1175.1707924085222,64.25242541517723,-61.28623705774657,16.74097677730265,19.51136454283187
0.003,-139644.04340315383,-1265.419572871732,101.69993104955901,-84.57189641194813,11.354336253976726,-0.4670394071181363
0.003,-139810.34038190133,-1357.0880301656236,138.74646580417948,-102.55589026930522,6.414573005768943,-19.87254879462489
0.003,-139941.32160440943,-1449.824762093698,174.48458078714228,-114.04019396605212,0.9987349338032345,-2.9034862784465076
0.003,-140049.77226850658,-1543.2773877003547,208.02694539066457,-118.31793365609197,-5.198988317389421,20.72545698687827
0.003,-140191.66114230885,-1637.0856778531038,238.54727124163412,-115.18935783652243,-10.30517978041894,6.750416842587583
0.004,-140352.23607447578,-1730.8873905587873,265.2993499504951,-104.97649053340892,-12.59343256115676,-19.634971419123758
0.004,-140481.87619231656,-1824.3303153001782,287.6238027649957,-88.5142239542436,-12.653291197654426,-7.8944451860152185
0.004,-140585.1412517001,-1917.0721874337908,304.96998551025393,-67.06419096922167,-11.7171567471255,17.943336353047926
0.004,-140716.92713700858,-2008.7733604344664,316.92463001456747,-42.177593853811445,-9.578144587727593,8.441848026668595
0.004,-140874.73045286303,-2099.100809757575,323.2183974765084,-15.576350556322591,-5.950367949307747,-17.67720991274473
0.004,-141014.11593128633,-2187.740873901853,323.71462050174443,10.947721875958056,-2.3683462115500333,-12.451296555278532
0.004,-141115.68225809126,-2274.4017126016747,318.40951099678216,35.666032777393156,-0.5970169253528184,15.605883554471802
0.004,-141235.57701534953,-2358.8045434704954,307.44495856592954,57.06811460795156,-0.05084529165492313,16.41642353710631
0.004,-141386.49599391175,-2440.682502211017,291.1050564672704,73.96747368290141,1.1299257332973411,-12.067830527055776
0.004,-141521.94756531093,-2519.7907608574214,269.7914845341168,85.54217547417169,3.137599335718278,-15.983331468381948
0.004,-141622.6198223376,-2595.909879281091,244.00602625043558,91.364990950296,4.7191267506241275,10.571890569644893
0.005,-141732.5009980799,-2668.8374575994185,214.3479829911946,91.43569264207804,5.62373105545953,15.106280605974462
0.005,-141883.6881975756,-2738.385749745986,181.499841789566,86.1598843884364,6.474170946036338,-11.02532785387666
0.005,-142025.39825742226,-2804.3919987514823,146.19191118040553,76.26008704619301,6.575651009688727,-18.81567017978159
0.005,-142127.14339818282,-2866.7235734678648,109.17439024843924,62.68492667790842,4.4362430366545595,9.448672690530657
0.005,-142227.90506218732,-2925.2684685283853,71.2116456226332,46.551905136439146,0.6219446361596965,22.000038815844164
0.005,-142367.6481685219,-2979.9283041508384,33.0726611625891,29.074491674627073,-2.321614909719983,-4.998851067590294
0.005,-142510.3417051246,-3030.625683219676,-4.499697678730406,11.445066139904565,-3.179338825339073,-21.132969745656737
0.005,-142614.14320637504,-3077.3108458611077,-40.81663562792827,-5.268720697393597,-3.1183709718382033,1.3816328307293588
0.005,-142710.16630055505,-3119.9542079744483,-75.24780769260686,-20.167024008635597,-3.0730290588321623,19.76432241317889
0.005,-142846.24372079896,-3158.53826839486,-107.22280927731695,-32.54187095724291,-2.4820039036874277,-1.053795520314452
0.005,-142995.82159469387,-3193.063855438149,-136.25222257294695,-41.92652737460894,-1.3913325215219174,-21.661438174796785
0.005,-143107.31209603694,-3223.558509713288,-161.9488775407372,-48.12814871222548,-1.3474986115454612,-1.4542558259927318
0.006,-143196.5402599025,-3250.0697719322557,-184.02300419049487,-51.191599405066476,-2.82279508266015,23.306805125528626
0.006,-143320.7265520962,-3272.653255969184,-202.26699081579446,-51.3329830438,-3.8129235043977587,7.010310308123735
0.006,-143464.7611933662,-3291.3744265640244,-216.55888375602422,-48.907896338009934,-2.5755854879118942,-20.582422411283915
0.006,-143584.47713666884,-3306.3175786410775,-226.8744129998403,-44.39561940950364,-0.07794049683343474,-10.304515297626494
0.006,-143674.33114937917,-3317.5831843082005,-233.2788766381633,-38.34350422897977,1.7871199498970327,16.30228347528464
0.006,-143790.91784845805,-3325.276957299228,-235.90472815530168,-31.28923315283395,2.8240137810339547,10.992010572070285
0.006,-143935.57833857278,-3329.5091685306274,-234.94368107745066,-23.72413806186199,3.6419621481420563,-15.252229607980553
0.006,-144062.8044680124,-3330.4035343003934,-230.65221390997854,-16.09506230098661,3.5896159835692742,-12.98606497775836
0.006,-144150.0656783659,-3328.0966969586016,-223.34162031241746,-8.784642891912803,1.832322545176794,15.475071464989014
0.006,-144253.42014472725,-3322.726040831611,-213.34998044735548,-2.066119902890101,-0.3768334231024255,17.182037571841647
0.006,-144393.78909990657,-3314.425317932946,-201.02651297270006,3.9042458605407617,-0.9081377803734085,-12.851167411787173
0.007,-144519.04827583412,-3303.3331673948383,-186.73605154769302,9.045085316276285,0.1933163245173546,-18.559509572281968
0.007,-144602.46498614133,-3289.5950759073025,-170.85388937312658,13.324202866503349,1.1667956406972735,11.406923855120112
0.007,-144696.07409192016,-3273.3520402173694,-153.741291948758,16.771017117754177,1.5494163002376808,18.67432154614653
0.007,-144829.3798958516,-3254.735206658862,-135.73166614324128,19.466787940141142,2.2261388919066576,-10.554774374882982
0.007,-144957.50009506944,-3233.8749685331068,-117.14010335392803,21.490862061359277,2.8321303089387584,-20.341030813604448
0.007,-145045.4765612455,-3210.9062568443765,-98.26797919141447,22.885983039083378,1.8183008205980968,7.03697729421765
0.007,-145129.34030644182,-3185.959227023708,-79.38634290377954,23.67680170228445,-0.6978398266671775,21.45275710480928
0.007,-145249.59269161138,-3159.15135211872,-60.72298375672108,23.888473289936577,-2.5802563041672784,-2.30637981036125
0.007,-145378.1599257183,-3130.5939355882238,-42.47281884351497,23.524929513920174,-2.708571492499459,-20.790360869181313
0.007,-145471.41140358584,-3100.3999236150435,-24.81094344167809,22.550584495547618,-2.2485860440353918,-1.472839220201422
0.007,-145548.6590324234,-3068.6782287763335,-7.885650262260928,20.92039917298388,-2.2100690827694507,19.583177379921835
0.007,-145663.81521985712,-3035.5252865447046,8.191932326937867,18.6196120027092,-1.8974636101488613,2.864887524425285
0.008,-145794.08118654267,-3001.0300881768685,23.337010905563908,15.660095964244547,-0.8818939523266636,-20.20136809306132
0.008,-145892.428862146,-2965.2835949387418,37.473682918835934,12.063312254936022,-0.38009456604368097,-4.650491974480246
0.008,-145965.29554907032,-2928.3748965738023,50.53801285330494,7.883922163917795,-1.1378826651230156,20.44434237148016
0.008,-146071.60044569976,-2890.3812748044647,62.49034055966459,3.246724506199115,-1.7741422265921756,7.750484981297632
0.008,-146197.03843558294,-2851.370541134604,73.3087794242845,-1.662726537714967,-0.9011693352390466,-18.415160235676012
0.008,-146296.90602980924,-2811.410579489129,82.97218496466334,-6.635163929801422,0.6930070425912618,-9.20022476984741
0.008,-146367.62694926583,-2770.56780569069,91.46072440335757,-11.443235194297948,1.6220142968188611,16.58139719238534
0.008,-146464.63352020187,-2728.8977619140737,98.76875640660724,-15.827536961172434,2.134595795389714,10.019627944220701
0.008,-146586.58463795003,-2686.4459330207055,104.90226280975779,-19.51963633828923,2.982787481621699,-15.574685631389002
0.008,-146689.3132554666,-2643.2575215576953,109.86318431409717,-22.29345210737442,3.4135630307052907,-11.857751942934556
0.008,-146756.45789581037,-2599.378019025075,113.64859362892373,-23.984249967587843,2.3508261112137916,14.732321302642958
0.009,-146837.37121073858,-2554.843228028922,116.26629741205886,-24.471923714277352,0.6714322855625596,15.382042383651424
0.009,-146954.67316564004,-2509.67708987939,117.73846710259302,-23.687008738562895,0.14452257162770366,-12.505189716954192
0.009,-147061.4250971586,-2463.9019768698327,118.08649997871444,-21.650454744145165,0.6024386474555286,-18.698155899670382
0.009,-147132.235423593,-2417.5435236084604,117.32482974999115,-18.487160240783197,0.33652432958865575,8.684841843354661
0.009,-147207.87372682974,-2370.622626014175,115.47462714059846,-14.39152904649989,-0.9947023808988433,18.296845872890117
0.009,-147319.8112630619,-2323.1512054816594,112.57160677776602,-9.600441617077593,-2.0872809599700304,-6.43606892558455
0.009,-147431.12295044935,-2275.14087207991,108.65416340947692,-4.402089743849196,-2.5115839225950367,-18.076391438127757
0.009,-147504.1684513293,-2226.6091702067015,103.75556120798251,0.8686686130538632,-3.18019289322433,4.816518873823952
0.009,-147571.76012656215,-2177.5722718899647,97.91689246085062,5.8801946440147645,-4.025477675738557,19.87963507346285
0.009,-147677.349767369,-2128.038254701251,91.19867711101084,10.34938529208928,-3.561615987936648,-2.3808189221599605
0.009,-147792.41654782495,-2078.0143105335073,83.6707945030333,14.039196988228014,-1.4935273153807884,-21.19029951012999
0.01,-147875.02859533174,-2027.5156034919225,75.3999529455732,16.748792762933647,0.3622309232905536,-1.7103565079414693
0.01,-147941.10035194163,-1976.560700497843,66.4576547515018,18.34252478744458,0.7170969398696343,19.616596923460747
0.01,-148041.14676012358,-1925.1633052230368,56.93330196488851,18.783214948887597,0.4732351235779788,4.668133576626133
0.01,-148160.95211040403,-1873.3365890356488,46.927525650351114,18.117918379121043,0.6674308038341223,-18.686634396544832
0.01,-148248.66035564666,-1821.1025333575676,36.53777218173401,16.443376611262494,0.6680129978180958,-6.235853366990341
0.01,-148311.33464709934,-1768.488631054241,25.863134216784946,13.907825793707502,-0.10195751322248725,19.54246942646205
