Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.366,76988.169787904,6.010122729687312,8.864475284749611,16.907080276296487,685.4362067415151,15659.837284268824
0.366,77316.20398953008,41.01732769379819,59.78844386660437,110.99590056985299,3697.990575329128,9971.922644603583
0.366,74297.91382526324,141.63712761010854,202.93860238830922,361.9254487526492,8978.406694310173,-32358.19315008849
0.366,73002.6749375671,342.6252286521717,479.48279987942647,808.0520745520575,12830.675920122116,-18864.96756566965
0.366,75242.76676687799,670.3869929267719,910.0814315434169,1421.7829773067112,10875.74042970294,11446.129774704925
0.366,76236.88295327223,1144.609655069468,1496.775020644804,2120.12673156731,2077.9993342653916,6883.820383767494
0.366,73607.78136346118,1779.2379813709265,2224.823980978217,2781.4889301540643,-10392.870803570495,10609.777436566439
0.366,72008.2905302394,2582.201405320622,3063.4905601958426,3264.2764690985123,-21235.3871001556,2299.730620364562
0.366,74374.8038261895,3555.6653668400786,3968.3423263351096,3429.856981431824,-25932.78231442237,-2014.1416278586184
0.366,75253.40619723871,4697.500797865448,4885.93095622055,3168.5291349607583,-22737.492581110666,613.9449633460426
0.367,72855.33223811773,6002.222279865967,5757.9581487726555,2419.7409010010792,-13167.679563040017,-5432.218900447931
0.367,70612.28997853876,7460.634917790933,6523.615064350107,1181.9711279225075,-1064.1924321047727,-2004.4895532609935
0.367,72763.24305096186,9059.897275661979,7122.5639225604355,-483.5996695018175,9377.985719094884,1254.7693987720468
0.367,73981.23430982046,10784.887106814203,7499.7265643916535,-2453.518090566312,15518.167741822761,2430.857972212674
0.367,72012.0456233079,12619.234986803656,7609.1995048871595,-4551.525018716527,16945.04251306621,863.3772322007608
0.367,68913.02095806849,14544.942221079831,7415.546150373892,-6568.93410712278,14830.419294997007,-2272.074618730843
0.367,69546.4693959319,16542.021630959127,6894.62363185495,-8288.9480960243,10897.012399838824,226.1467228579786
0.367,71684.19023563746,18589.519128962118,6035.946818390362,-9508.1602510424,6719.751097643895,1780.7205548325237
0.367,70642.24131610886,20666.818379019118,4844.827041008912,-10056.401998966263,3318.272412109098,159.1368719642196
0.367,67274.45927553884,22753.576164403057,3341.7553642440866,-9817.674371903368,905.5038341013527,-1923.5226655490587
0.367,67097.07583154153,24829.0429499003,1560.2579565642413,-8747.35555009108,-952.5516487026156,-955.3933428440578
0.367,69276.19210197832,26872.581778476564,-453.9457749399765,-6878.40913741462,-2714.955225124786,2024.092215351122
0.367,68847.48564332553,28864.898174538852,-2643.1997054386698,-4317.711971767047,-4382.931126558721,1020.2118563047425
0.367,65423.19839277249,30788.11103502278,-4940.361536169028,-1238.5865553967603,-5635.310268252111,-1710.0408410633881
0.367,64470.65645106512,32624.91514015651,-7272.914706670208,2130.6959727497174,-6218.922164118175,-1128.9733423901307
0.367,66625.00698864544,34358.73943653412,-9565.700410080852,5527.075696169538,-6032.72204483148,1526.4518226631299
0.367,66908.24829438308,35974.89597418971,-11742.204976639716,8679.224348655509,-5027.6152466296935,1428.8727041139991
0.367,63773.550244993006,37460.81705342703,-13727.22072015037,11331.966533606534,-3316.602635477077,-1416.5601243062156
0.367,62145.09155095716,38805.13873921952,-15451.102117712251,13265.782074527257,-1324.4917279586562,-1593.0391235789994
0.367,64129.21120276585,39997.492578675585,-16852.643270733774,14315.359261396557,427.99851501226976,1191.760605716372
0.367,65049.47722547975,41029.48798492197,-17879.78819305994,14386.769711573224,1701.0641994098469,1710.0326375104796
0.367,62302.17961098905,41895.0930660276,-18490.875772837077,13466.186531606527,2540.6683052335306,-949.9208047169577
0.367,59991.72449013288,42589.70285037374,-18657.421326580614,11617.549223946444,2981.4177268716353,-1862.1550184110747
0.367,61595.68567224571,43109.599414839846,-18365.756931231957,8974.930504893158,2982.1014380653355,716.070583160672
0.367,63069.91732953994,43452.74800011703,-17616.09886995429,5733.151872766944,2632.823720753132,1968.468551109123
0.367,60923.79223391918,43619.3567793791,-16421.49156884317,2132.6502681023585,2157.635323462555,-443.1810758620377
0.367,58493.79998371601,43611.07869322661,-14808.346270986136,-1563.1916815117959,1652.917579541036,-1929.944988773519
