Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-518195.6014866354,-40.45321731246218,-59.66542800925177,-113.79897271612761,-4613.566323393012,-105403.97080564822
0.18,-517989.250181824,-275.89288872129714,-402.14889144158104,-746.5662434040592,-24869.114404824235,-66628.40448944274
0.18,-517707.3499807537,-953.6163250479057,-1366.3816672414694,-2436.985902207708,-60494.771107855246,214033.69200060004
0.18,-517478.11048962007,-2313.0439648425513,-3237.4841299904865,-5458.247914145958,-87116.51497998416,121676.2195303933
0.18,-517561.0801650382,-4541.714924272464,-6168.225963479454,-9647.533847000468,-75410.04781887299,-67379.77202789063
0.18,-517631.80108449474,-7779.59326414609,-10180.995869339446,-14453.226229592887,-17217.080496454677,-34535.888844524234
0.18,-517708.6016784432,-12123.32723994501,-15176.458677526174,-19040.802804060047,67597.73095719152,-80812.67676248877
0.18,-517841.2816335298,-17630.39362141483,-20947.891426969123,-22438.624217372097,143056.45409402173,-28290.777411819377
0.18,-517930.77801832894,-24323.142977277086,-27200.146944549266,-23701.525409910657,177050.4698476887,19549.771539372232
0.18,-517950.0005185605,-32192.732079417226,-33572.033507529086,-22069.32560064838,156870.7323910019,7119.158007291335
0.18,-518185.4984981417,-41202.93451266279,-39660.848243848304,-17099.392240862013,92922.89896182533,30737.59905698824
0.18,-518447.7291640913,-51293.85345107615,-45047.84661844046,-8756.775381219608,10949.957918465636,1816.3379960029415
0.18,-518389.61462850746,-62385.46890924277,-49323.338439183724,2548.919185851465,-61222.04685766009,-2433.8313832563144
0.18,-518209.63838215335,-74380.92582305714,-52110.15994184515,15983.979773094343,-105077.39142398059,-3320.5290205781494
0.181,-517995.9557051606,-87169.61235755464,-53084.62640413351,30365.060403516945,-116214.41768952123,-9999.687928717773
0.181,-517897.51862257946,-100630.11996865236,-51994.29574281249,44278.059637457896,-102055.19671259972,1301.7621354159492
0.181,-517808.4692726695,-114633.07800057257,-48671.904150487084,56227.27097300103,-75339.15347970178,-1054.2421459587058
